,Statistic,No.,Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Custom Field 1
0,,23.0,Noah Aaron,WR,Sr.,6-0,184.0,"Winston-Salem, N.C. / The Groton School",Economics
1,,21.0,Brian Abraham,LB,Sr.,6-4,212.0,"Brockton, Mass. / Xaverian Brothers",Political Science
2,,24.0,Spencer Alston,RB,Sr.,5-8,191.0,"Reston, Va. / South Lakes",Economics
3,,72.0,Kiran Amegadjie,OL,Jr.,6-5,318.0,"Hinsdale, Ill. / Hinsdale Central",Undeclared
4,,78.0,Bennie Anderson,OL,Jr.,6-3,304.0,"University City, Mo. / Westminster Christian",Undeclared
5,,16.0,Damian Anderson,DB,So.,6-0,166.0,"Miramar, Fla. / Saint Thomas Aquinas",Undeclared
6,,24.0,Inumidun Ayo-Durojaiye,DB,So.,6-0,190.0,"Damascus, Md. / Damascus",Undeclared
7,,46.0,Jermaine Baker,DB,Sr.,6-2,227.0,"Westchester, Ill. / Nazareth Academy",Economics
8,,19.0,Kade Barnes,DB,Jr.,5-9,189.0,"Houston, Texas / Cypress Ridge",Political Science
9,,88.0,Ryan Belk,TE,So.,6-4,219.0,"Parkland, Fla. / Marjory Stoneman Douglas",Undeclared
10,,48.0,Brandon Benn,DB,Jr.,6-0,205.0,"Atlanta, Ga. / McCallie School","History Science, Medicine & PH"
11,,79.0,Michael Bennett,OL,Fy.,6-5,265.0,"Atlanta, Ga. / Holy Innocents Episcopal School",
12,,2.0,Jack Biestek,WR,Sr.,6-3,204.0,"Durham, N.C. / Cardinal Gibbons",Computer Science & Economics
13,,7.0,Jacob Biggs,WR,So.,6-1,210.0,"Provo, Utah / Timpview",Undeclared
14,,58.0,Leo Bluhm,OL,Fy.,6-4,275.0,"St. Paul, Minn. / St. Thomas Academy",
15,,45.0,Jack Bosman,P/K,Jr.,5-9,192.0,"San Diego, Calif. / Santa Fe Christian",Undeclared
16,,8.0,Nico Brown,WR,Fy.,6-0,185.0,"Huntington Beach, Calif. / Edison",
17,,3.0,Jay Brunelle,WR,Jr.,6-2,203.0,"Paxton, Mass. / St. John's",Undeclared
18,,96.0,Sebastian Bruno,DL,Sr.,6-3,276.0,"Delray Beach, Fla. / Olympic Heights (Boca Raton, FL)",Mechanical Engineering
19,,13.0,Nathaniel Campbell,LB,Jr.,6-2,205.0,"Oswego, Ill. / Oswego East",Political Science
20,,70.0,Cameron Charron,OL,Fy.,6-3,295.0,"Wellesley, Mass. / Noble and Greenough School",
21,,1.0,Dante Chiappetta,Team Impact,So.,5-4,130.0,"North Haven, Conn. / Clintonville",
22,,26.0,Nick Conforti,K/P,Fy.,5-9,180.0,"Livingston, N.J. / Seton Hall Prep",
23,,28.0,Wilhelm Daal,RB,Fy.,6-1,215.0,"Amityville, N.Y. / Taft School",
24,,91.0,Zion Dayne,DL,Jr.,6-3,270.0,"Lorton, Va. / South County",Undeclared
25,,20.0,Nathan Denney,RB,So.,5-9,206.0,"Georgetown, Texas / Georgetown",Undeclared
26,,8.0,Tyler Di Ienno,DB,Jr.,6-0,207.0,"North Haledon, N.J. / Cheshire Academy",Economics
27,,63.0,Jonathon Durand,OL,Jr.,6-2,288.0,"Gilbert, Ariz. / Basha",Electrical Engineering
28,,4.0,Josh Eboboko,RB,Jr.,5-10,196.0,"Charlotte, N.C. / Charlotte Christian",Undeclared
29,,51.0,Ejiroghene Egodogbare,DL,Fy.,6-3,260.0,"Milton, Mass. / Roxbury Latin",
