,Statistic,No.,Name,Pos.,Year,Ht.,Wt.,Hometown / High School,Major,Opendorse
0,,0.0,Sam Merryman,LS,Jr.,6-2,208.0,"Shadyside, Ohio / Shadyside",General Studies,samuel-merryman
1,,0.0,Bryce Oliver,WR,Sr.,6-1,212.0,"Fort Lauderdale, Fla. / Dillard",Sociology,bryce-oliver
2,,1.0,Quincy Lenton,DB,Sr.,6-0,195.0,"Meridian, Miss. / Meridian",Sociology,quincy-lenton
3,,1.0,Dra Rushton,TB,Sr.,5-11,189.0,"Liberty, Ohio / Liberty",Business Administration,michael-rushton
4,,2.0,C.J. Charleston,WR,Jr.,6-0,193.0,"Gates Mill, Ohio / Gilmour Academy",Mathematics,clarence-charleston
5,,2.0,Troy Jakubec,DB,Jr.,6-1,186.0,"Warren, Ohio / Warren Harding",General Studies,troy-jakubec
6,,3.0,Latrell Fordham,WR,Jr.,6-4,182.0,"Flint, Mich. / St. Thomas More",General Studies,latrell-fordham-jxz_z0ss
7,,3.0,Alex Howard,LB,Jr.,6-2,233.0,"Cincinnati, Ohio / Mount Healthy",Criminal Justice,alex-howard
8,,4.0,Tyjon Jones,DB,Jr.,6-0,189.0,"Johnstown, Pa. / Greater Johnstown",General Studies,tyjon-jones
9,,4.0,Max Tomczak,WR,So.,6-0,181.0,"Frankfort, Ill. / Lincoln-Way East",Business Administration,max-tomczak
10,,5.0,Greg Benton Jr.,LB,Sr.,6-1,228.0,"Elkridge, Md. / Long Reach",Health and Human Services,gregory-benton
11,,5.0,Brandan Serrano,TE,Jr.,6-0,239.0,"Struthers, Ohio / Struthers",Civil Engineering,brandan-serrano
12,,6.0,Ezekiel Blake,DB,Jr.,6-3,197.0,"Lauderhill, Fla. / Wellington",General Studies,ezekiel-blake
13,,6.0,Luke Hensley,WR,So.,6-2,198.0,"Medina, Ohio / Medina",Finance,luke-hensley
14,,7.0,D'Marco Augustin,DB,Jr.,6-1,200.0,"Boyton Beach, Fla. / Park Vista",Marketing Sales,dmarco-augustin
15,,7.0,Max Blanc,QB,R-Fr.,6-5,214.0,"Bethel Park, Pa. / Bethel Park",Business Administration,max-blanc-profile
16,,9.0,Chris Fitzgerald,DL,Jr.,6-0,274.0,"Youngstown, Ohio / East",Social Work,christopher-fitzgerald
17,,10.0,Jackson Pruitt,DB,So.,6-0,189.0,"Jeannette, Pa. / Jeannette",Psychology,jackson-pruitt
18,,11.0,Brandon Alexander,WR,So.,6-2,208.0,"Alliance, Ohio / Alliance",Communication Studies,brandon-alexander
19,,11.0,Jordan Trowers,DB,Jr.,6-0,173.0,"Youngstown, Ohio / Valley Christian",Marketing Management,jordan-trowers
20,,12.0,Beau Brungard,QB,R-Fr.,6-0,208.0,"New Middletown, Ohio / Springfield Local",Business Administration,beau-brungard
21,,12.0,Amarian Robinson,DB,Jr.,5-10,164.0,"Akron, Ohio / Akron East",Criminal Justice,amarian-robinson
22,,13.0,Daryan Bowling,WR,So.,6-3,186.0,"Hamilton, Ohio / Hamilton",Business Administration,daryan-bowling
23,,14.0,Mitch Davidson,QB,Sr.,6-4,208.0,"Salem, Ohio / Salem",Business Administration,mitchel-davidson
24,,14.0,Gage Salyers,DB,So.,5-11,194.0,"Ironton, Ohio / Ironton",Integrated Social Studies,gage-salyers
25,,15.0,Dominique Julius,DB,R-Fr.,6-2,180.0,"Philadelphia, Pa. / Fork Union Military Academy",Pre Business,dominique-julius
26,,16.0,Dominic Julius,DB,R-Fr.,6-3,196.0,"Philadelphia, Pa. / Fork Union Military Academy",Pre Business,dominic-julius
27,,17.0,Alex McDonald,TE,R-Fr.,6-4,234.0,"Chardon, Ohio / Chardon",Undecided,alexnader-mcdonald
28,,17.0,Dylan Wudke,DE,Sr.,6-4,251.0,"Miamisburg, Ohio / Miamisburg",General Business,dylan-wudke
