,Unnamed: 0,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Hometown,High School,Previous School,Title,Yr.,Hgt.,Wgt.,#,Full Name,Hometown/Previous School,Hometown (Prev School),Year,Pos,Academic Year,Hometown / High School,C,Hometown/High School,Unnamed: 7,Exp.,College,Class,Major,School,Hometown(Prev School),Hometown / Last School,Transfer,Player,CL.,NAME,POS,HT,WT,Name.1,Prev School,Yr.-Exp.,Custom Field 1,Custom Field 2,Custom Field 3,Hometown / High School / Prep (Previous College),Twitter,Instagram,FULL NAME,POS.,HT.,WT.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,High School / Prev. School,Letters,Photo,HIgh School,Hometown / High School (Last School),Previous College,Facebook,Previous University,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1,Eligibility,Position,Height,Weight,Number,Opendorse
0,0,,0.0,,Tyrin Bradley,DL,6-4,255.0,Jr.,Abilene Christian,"Lubbock, Texas",Monterey HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,0.0,,Jay'Veon Sunday,RB,6-0,201.0,So.,Abilene Christian,"Waco, Texas",Connally HS,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,1.0,,Maverick McIvor,QB,6-2,210.0,Jr.,Abilene Christian,"San Angelo, Texas",Central HS,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,2.0,,Marcayll Jones,WR,5-9,178.0,So.,Abilene Christian,"Warner Robbins, Ga.",Warner Robbins HS,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,2.0,,Jordan Mukes,DB,6-3,210.0,So.,Abilene Christian,"Choctaw, Okla.",Choctaw HS,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,3.0,,Rovaughn Banks Jr.,RB,5-10,200.0,So.,Abilene Christian,"Tulsa, Okla.",Union HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,4.0,,"Anthony Egbo, Jr.",DB,5-8,190.0,Sr.,Abilene Christian,"Richmond, Texas",Foster HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,4.0,,Davion Johnson,WR,5-8,170.0,Sr.,Abilene Christian,"Bedford Heights, Ohio",Bedford HS,Southwestern CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,4.0,,Ethan Long,QB,6-2,210.0,Sr.,Abilene Christian,"West Linn, Ore.",West Linn HS,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,5.0,,Trey Adams,S,5-10,200.0,Sr.,Abilene Christian,"Corvallis, Ore.",Crescent Valley HS,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
