,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown/Previous School,Image,Title
0,,0.0,Isaiah Major,LB,6-1,225.0,Jr.,"Oklahoma City, Ok. / Independence Community College",,
1,,0.0,Jeremiah Pruitte,TE,6-5,230.0,R-Jr.,"Atlanta, Ga. / Colorado State",,
2,,1.0,Destin Coates,RB,5-11,205.0,Gr.,"Tallahassee, Fla. / Georgia State",,
3,,1.0,A.J. Davis,RB,6-0,215.0,Gr.,"Lakeland, Fla. / Pittsburgh",,
4,,1.0,Lovie Jenkins,DB,6-1,195.0,Jr.,"Orlando, Fla. / Louisville",,
5,,2.0,Javan Morgan,DB,5-11,185.0,R-Jr.,"Tallahassee, Fla. /",,
6,,2.0,Cameron Sapp,QB,6-3,215.0,R-Jr.,"Jacksonville, Fla. /",,
7,,3.0,Kendall Bohler,DB,6-0,193.0,R-So.,"Orlando, Fla. / Mercer",,
8,,3.0,Lelan Wilhoite,RB,5-11,195.0,R-Jr.,"Nashville, Tenn. / Fort Scott CC",,
9,,4.0,Kym'Mani King,DB,5-10,175.0,R-Jr.,"New Port Richey, Fla. / Iowa State",,
10,,4.0,Marquez Phillips,WR,6-3,185.0,Sr.,Washington D.C. / Virginia State University,,
11,,5.0,Kareem Burke,WR,6-0,178.0,Fr.,"Jacksonville, Fla. / Raines HS",,
12,,5.0,Aric Horne,LB,6-1,223.0,R-Jr.,"Jacksonville, Fla. / Iowa State",,
13,,6.0,Christopher Sanders II,WR,5-11,185.0,R-Jr.,"Detroit, Mi. /",,
14,,6.0,Timothy Williams Jr.,DB,6-2,200.0,R-Sr.,"Miami, Fla. /",,
15,,7.0,Tevin Griffey,DB,5-11,175.0,R-So.,"Orlando, Fla. / Dr. Phillips HS",,
16,,7.0,Junior Muratovic,QB,6-3,215.0,R-Fr.,"Orlando, Fla. /",,
17,,8.0,Jeremy Moussa,QB,6-3,225.0,Gr.,"Chino Hills, Calif. / Vanderbilt",,
18,,8.0,Eric Smith,DB,5-10,177.0,R-Sr.,"Opa-locka, Fla. /",,
19,,9.0,Fenley Graham Jr.,WR,5-9,170.0,R-So.,"Lakeland, Fla. / Florida",,
20,,9.0,Zaire Riley,DB,5-6,160.0,Fr.,"Tallahassee, Fla. / Gadsden County HS",,
21,,10.0,Jah'Marae Sheread,WR,5-7,175.0,R-Sr.,"Houston, Texas / Texas State",,
22,,11.0,BJ Bohler,DB,5-9,180.0,R-Sr.,"Orlando, Fla. / Mercer",,
23,,11.0,Jacory Jordan,QB,6-4,195.0,R-Fr.,"Jacksonville, Fla. /",,
24,,12.0,Kortney Cox,DB,5-11,185.0,R-Sr.,"Decatur, Ga. /",,
25,,12.0,Trey Fisher,QB,5-11,180.0,R-So.,"Tallahassee, Fla. / UT-Martin",,
26,,13.0,Trevonte Davis,WR,6-1,205.0,R-Jr.,"Flint, Mi. / Wayne State",,
27,,13.0,Trenton McGhee,DB,6-1,205.0,Gr.,"Jacksonville, Fla. / Alabama A&M",,
28,,14.0,Traquan Butler,DB,5-8,185.0,R-Sr.,"Richmond Heights, Fla. /",,
29,,15.0,Winsome Frazier,DB,6-3,185.0,R-Fr.,"Miami, Fla. /",,
30,,16.0,Robert Glanton,DB,5-11,195.0,R-So.,"Perry, Fla. / Wake Forest",,
31,,16.0,Derrick Hall,WR,5-10,195.0,R-Sr.,"Indianapolis, Ind. /",,
32,,17.0,Rasean McKay,QB,6-1,220.0,R-Sr.,"Miami, Fla. /",,
33,,17.0,Wayne Quin II,LB,6-0,200.0,Fr.,"Tampa, Fla. /",,
34,,18.0,Kwame Clark,DB,5-11,185.0,Gr.,"Jacksonville, Fla. /",,
35,,18.0,Koby Gross,TE,6-2,238.0,R-Jr.,"San Ramon, Calif. / FSU",,
36,,19.0,Xavier Smith,WR,5-10,170.0,Gr.,"Haines City, Fla. /",,
37,,20.0,Jordan Moore,DB,6-0,215.0,R-Jr.,"Yoakum, Texas / Kilgore College",,
38,,21.0,Lamar Mullins,DB,6-3,205.0,Gr.,"Miami, Fla. / Tulsa",,
39,,23.0,Terrell Jennings,RB,6-1,225.0,Sr.,"Duval, Fla. /",,
40,,24.0,Ben Onwuzo,DB,5-11,189.0,R-So.,"Miramar, Fla. / Madonna-Chaminade HS",,
