,Statistic,#,Image,Full Name,Year,Pos.,Ht.,Wt.,Hometown / High School,Name,Title
0,,1,,Michael Denning,Sr.,P/K,6-0,188.0,"Sidney, Ohio / Lehman Catholic",,
1,,1d,,Logan Landers,Fr.,QB,6-0,190.0,"Villa Hills, Ky. / Dixie Heights",,
2,,2,,Sam Bubonics,Sr.,SLT,5-11,177.0,"Solon, Ohio / Solon",,
3,,2d,,Noah Nordhaus,Fr.,CB,5-11,170.0,"Burke, Va. / Robinson",,
4,,3,,Shane Hamm,R-Fr.,QB,5-11,203.0,"North Jackson, Ohio / Hoban",,
5,,3d,,Josh Anderson,Fr.,S,6-0,190.0,"Cincinnati, Ohio / St. Xavier",,
6,,4,,John Sciarretti,So.,RB,6-1,212.0,"New Philadelphia, Ohio / New Philadelphia",,
7,,4d,,Danny Baker,R-Jr.,$$,6-0,190.0,"Winnetka, Ill. / New Trier",,
8,,5,,Matt Lenti,Sr.,S,5-10,195.0,"La Grange Park, Ill. / Mount Carmel",,
9,,5d,,Irasen Borders,So.,SLT,5-9,165.0,"Mason, Ohio / Mason",,
10,,6,,Will Tammaru,R-Fr.,QB,6-2,207.0,"North Aurora, Ill. / West Aurora",,
11,,7,,Brock Kidwell,Fr.,S,5-11,190.0,"New Albany, Ohio / New Albany",,
12,,8,,Cole Dow,Sr.,QB/WR,6-1,210.0,"Park Ridge, Ill. / Maine South",,
13,,9,,Elijah Smith,Sr.,CB,6-0,195.0,"Louisville, Ky. / Christian Academy",,
14,,9d,,AK Agee,Fr.,SLT,5-9,170.0,"Chicago, Ill. / Marist",,
15,,10,,Luke Brenner,So.,SLT,5-10,160.0,"Grand Rapids, Mich. / Forest Hills Eastern",,
16,,10d,,Mac Grant III,Fr.,S,6-0,185.0,"Richmond, Va. / St. Christopher's",,
17,,11,,Joey Swanson,So.,WR,6-1,198.0,"Grayslake, Ill. / Grayslake North",,
18,,11d,,Caleb Webb,R-Fr.,CB,5-9,183.0,"Waterford, Mich. / Notre Dame Prep",,
19,,12,,Ryan VanSchelven,Sr.,QB,5-10,196.0,"Roscoe, Ill. / Hononegah",,
20,,13,,Ricardo Avelar III,R-Fr.,LB,6-1,220.0,"Sahuarita, Ariz. / Walden Grove",,
21,,13d,,Ryan French,R-Fr.,WR,6-1,191.0,"St. Charles, Ill. / St. Francis",,
22,,14,,Kyle Hazell,Sr.,WR,6-0,175.0,"West Lafayette, Ind. / West Lafayette",,
23,,15,,Jake Sargent,Sr.,SLT,5-10,174.0,"Dayton, Ohio / Oakwood",,
24,,16,,Joey Daniels,Fr.,QB,5-10,185.0,"Pittsburgh, Pa. / Mt. Lebanon",,
25,,17,,Dante Casciola,R-Fr.,QB,6-1,203.0,"Waxhaw, N.C. / Weddington",,
26,,18,,Braden Woods,R-Fr.,QB,6-2,200.0,"Franklin, Ohio / Franklin",,
27,,18d,,Bennett Lawrence,Fr.,$$,6-0,190.0,"Galena, Ohio / Olentangy Berlin",,
28,,19,,Jake Coleman,So.,WR,6-5,208.0,"Lewis Center, Ohio / Olentangy",,
29,,19d,,Logan Foody,R-Fr.,S,6-1,213.0,"Knoxville, Tenn. / Farragut",,
30,,20,,Cade Beam,So.,H-Back,5-11,223.0,"Troy, Ohio / Tippecanoe",,
31,,21,,Grant Russell,R-Fr.,$$,6-1,190.0,"South Oldham, Ky. / South Oldham",,
32,,21d,,Ashton Young,Fr.,WR,6-0,170.0,"Springfield, Ohio / Springfield Catholic",,
33,,22,,Anthony Ammori,R-Fr.,RB,5-10,193.0,"Bloomfield Hills, Mich. / Detroit Country Day",,
34,,23,,Anthony Serventi,R-Fr.,S,6-0,202.0,"Pittsburgh, Pa. / North Catholic",,
35,,24,,Logan Dalton,Sr.,S,6-1,208.0,"Mason, Ohio / Mason",,
36,,24d,,Dominic Vrbancic,Fr.,SLT,6-1,175.0,"Louisville, Ky. / Male",,
37,,25,,Logan Davis,R-Fr.,RB,5-11,193.0,"Prospect, Ky. / St. Xavier",,
38,,26,,Billy Skalitzky,Sr.,WR,6-0,185.0,"Evergreen Park, Ill. / Marist",,
39,,26d,,Westyn Pemberton,Fr.,LB,6-200,,"Martinsville, Ind. / Martinsville",,
40,,27,,Dwayne Morehead III,So.,CB,6-2,185.0,"Toledo, Ohio / Cardinal Stritch",,
41,,28,,Michael Franks,Sr.,CB,6-1,178.0,"Mohnton, Pa. / Governor Mifflin",,
42,,29,,Jake Chisholm,Sr.,RB,5-9,191.0,"Union, Ky. / Ryle",,
43,,30,,Logan Miller,R-Fr.,S,5-10,193.0,"Lebanon, Ohio / Fenwick",,
44,,30d,,Larry Callaway III,R-Fr.,RB,5-10,189.0,"Bell Vernon, Pa. / Bell Vernon",,
45,,31,,Mitchell Colter,R-Fr.,S,6-1,198.0,"Fairfax, Va. / Robinson",,
46,,32,,Jeremy Jonozzo,R-Fr.,CB,5-11,166.0,"Broadview Heights, Ohio / Brecksville-Broadview Heights",,
47,,32d,,Sean Banks,Fr.,RB,5-11,190.0,"Lombard, Ill. / Glenbard East",,
48,,33,,T.J. O'Malley,R-Fr.,LB,6-1,210.0,"Mason, Ohio / St. Xavier",,
49,,34,,Alex Hirschfield,Sr.,LB,6-0,215.0,"Orland Park, Ill. / Carl Sandburg",,
50,,35,,Ben Schmiesing,Gr.,LB,6-1,233.0,"Piqua, Ohio / Piqua",,
51,,36,,Joey Guagenti,R-Fr.,CB,5-10,176.0,"Columbus, Ohio / Olentangy Orange",,
52,,37,,Ca'ron Coleman,So.,$$,5-10,195.0,"Piqua, Ohio / Piqua",,
53,,38,,Aiden McKinley,R-Fr.,LB,6-2,224.0,"Louisville, Ky. / Trinity",,
54,,39,,Cole Hildebrand,R-Fr.,S,6-3,196.0,"Cincinnati, Ohio / La Salle",,
55,,40,,Joe Craft,Sr.,$$,5-11,200.0,"Loveland, Ohio / Moeller",,
56,,40d,,Will Cohen,Fr.,RB,5-10,180.0,"Fairfax, Va. / Robinson",,
57,,41,,Ty Stylski,R-Fr.,RB,5-10,195.0,"Mason, Ohio / Kings",,
58,,42,,Michael Neel,Sr.,RB,5-10,195.0,"Charlotte, N.C. / Charlotte Catholic",,
59,,43,,Nathan Arthur,Sr.,LB,5-11,222.0,"Cincinnati, Ohio / St. Xavier",,
60,,43d,,Levi Moell,Fr.,WR,5-6,179.0,"West Liberty, Ohio / West Liberty-Salem",,
61,,44,,Jacob Schachte,R-Fr.,$$,6-0,205.0,"Charlotte, N.C. / Charlotte Catholic",,
62,,45,,Cam Cope,Fr.,CB,5-11,180.0,"Cincinnati, Ohio / La Salle",,
63,,46,,Luke Mitchell,Fr.,S,6-1,175.0,"Dayton, Ohio / Vandalia-Butler",,
64,,47,,Eli Kirk,Fr.,S,6-1,190.0,"Milford, Ohio / St. Xavier",,
65,,48,,Gideon Lampron,Fr.,LB,5-11,220.0,"LaGrange, Ohio / Keystone",,
66,,49,,David Maurer,Fr.,K,6-3,215.0,"Cincinnati, Ohio / Elder",,
67,,50,,Dan Kowaleski,So.,LB,6-0,217.0,"South Elgin, Ill. / St. Charles North",,
68,,51,,Jackson Ward,R-Fr.,OG,6-4,266.0,"Cincinnati, Ohio / Walnut Hills",,
69,,52,,Brian Stevens,Sr.,OG,6-2,290.0,"Milford, Ohio / Milford",,
70,,53,,David Tkatch,Sr.,OT,6-2,291.0,"Harmony, Pa. / Seneca Valley",,
71,,54,,Ben Huefner,Fr.,OT,6-3,280.0,"Powell, Ohio / Olentangy Liberty",,
72,,55,,Stuart Young,R-Fr.,OL,6-3,284.0,"Memphis, Tenn. / St. George’s",,
73,,56,,George Fanelli,Sr.,OG,6-1,262.0,"Evergreen Park, Ill. / Marist",,
74,,57,,Jerell Lewis,So.,DE,6-1,245.0,"Piqua, Ohio / Piqua",,
75,,58,,Drew Robertson,Sr.,DT,6-1,298.0,"Cranberry Township, Pa. / Seneca Valley",,
76,,59,,Logan Osborne,Fr.,OG,6-7,231.0,"Middletown, Ohio / Middletown",,
77,,60,,Marc Rumpke,R-So.,C,6-2,303.0,"Lexington, Ky. / Lexington Catholic",,
78,,61,,Nate Hess,R-Fr.,DT,6-2,270.0,"Hartland, Wisc. / Arrowhead",,
79,,62,,Joe Lansing,R-Fr.,OG,6-2,280.0,"Baldwin, Mo. / St. Louis University H.S.",,
80,,63,,Colin Koennecke,R-Fr.,OT,6-5,250.0,"Hudson, Ohio / Hudson",,
81,,64,,Connor Muck,So.,OT,6-5,296.0,"Perrysburg, Ohio / Perrysburg",,
82,,65,,Luke Bernstein,R-Fr.,OT,6-5,280.0,"St. Louis, Mo. / MICDS",,
83,,68,,Dylan DeMaison,So.,C,6-2,293.0,"Cincinnati, Ohio / La Salle",,
84,,69,,Chase Brown,Fr.,DE,6-2,225.0,"Cincinnati, Ohio / Moeller",,
85,,70,,Austin Yeager,So.,LS,6-4,200.0,"Mission Viejo, Calif. / Trabuco Hills",,
86,,71,,Conor Clyde,R-Fr.,C,6-5,291.0,"Chicago, Ill. / Loyola Academy",,
87,,72,,Hunter Koehler,Fr.,DE,6-3,200.0,"Wharton, Ohio / Riverdale",,
88,,73,,Elliott Braun,Fr.,DT,6-3,230.0,"Dayton, Ohio / Carroll",,
89,,74,,Sam Schadek,Sr.,DT,6-3,270.0,"Columbus, Ohio / Upper Arlington",,
90,,75,,Hayden Snyder,Sr.,LS,6-0,198.0,"Elmhurst, Ill. / York Community",,
91,,77,,Tommy Shipman,Fr.,OT,6-5,280.0,"Niles, Ill. / Notre Dame Prep",,
92,,78,,Johnny Mickler,R-Fr.,OG,6-3,284.0,"Milford, Ohio / Milford",,
93,,79,,Jonathan Baker,R-Fr.,DL,6-2,230.0,"Cincinnati, Ohio / La Salle",,
94,,80,,Kevin Roberts,So.,TE,6-3,255.0,"Columbus, Ohio / Hilliard Davidson",,
95,,81,,Alec Keathley,R-Fr.,TE,6-3,230.0,"Knoxville, Tenn. / Farragut",,
96,,82,,Silas Snell,Fr.,TE,6-5,245.0,"Cincinnati, Ohio / Country Day",,
97,,83,,Joe Durham,Gr.,DE,6-3,249.0,"Cincinnati, Ohio / Fenwick",,
98,,84,,Austin Bradfish,Sr.,TE,6-3,220.0,"Loveland, Ohio / Moeller",,
99,,85,,Joe Brodie,R-Fr.,DE,6-3,220.0,"Waterville, Ohio / St. Francis DeSales",,
100,,87,,Derek Willits,Sr.,WR,6-3,206.0,"Centerville, Ohio / Alter",,
101,,88,,Joe Gits,R-Fr.,DT,6-0,272.0,"Naperville, Ill. / Waubonsie Valley",,
102,,89,,Brian Dolby,R-So.,WR,5-9,175.0,"Lake Forest, Ill. / New Trier",,
103,,90,,Mason Henry,So.,DE,6-2,236.0,"Springboro, Ohio / Alter",,
104,,90d,,Andy Bauman,Fr.,TE,6-1,197.0,"Kings Mills, Ohio / Kings",,
105,,91,,Jayson Harris-Woodard,Fr.,DE,6-3,225.0,"Chicago, Ill. / Marist",,
106,,92,,Sam Webster,Sr.,K,5-10,265.0,"Richfield, Ohio / Revere",,
107,,93,,Drew Nieman,Sr.,P,5-10,185.0,"Cincinnati, Ohio / La Salle",,
108,,94,,Logan Forcum,Fr.,P,5-10,160.0,"Cincinnati, Ohio / La Salle",,
109,,95,,Jack Wardzala,R-So.,DT,6-0,245.0,"Indianapolis, Ind. / Roncalli",,
110,,96,,Troy Reisner,R-Fr.,DT,6-2,247.0,"Liberty Township, Ohio / Lakota East",,
111,,97,,Robby Smart,Fr.,K,5-10,150.0,"North Canton, Ohio / Hoover",,
0,,,,,,,,,,Trevor Andrews,Head Coach
1,,,,,,,,,,John Bowes,Defensive Coordinator/Defensive Backs
2,,,,,,,,,,Greg Whalen,Offensive Coordinator/Offensive Line
3,,,,,,,,,,Ted Hefter,Assistant Coach/Passing Game Coordinator/Quarterbacks Coach
4,,,,,,,,,,Paul Amakihe,Assistant Coach/Linebackers
5,,,,,,,,,,Sam Costantino,Assistant Coach/Wide Receivers/Recruiting Coordinator
6,,,,,,,,,,Ted Flaherty,Assistant Coach/Secondary
7,,,,,,,,,,Mark Ewald,Assistant Coach/Running Backs
8,,,,,,,,,,Andy Aracri,Assistant Coach/Defensive Tackles
9,,,,,,,,,,Scott Horcher,Assistant Coach/Cornerbacks
0,,,,,,,,,,Jake Speller,Director of Football Operations
