,Statistic,Image,#,Name,Pos.,Ht.,Wt.,Cl.,Hometown/Previous School,Title
0,,,0.0,Tyion Berry,WR,5-10,180.0,Fr.,"Stuttgart, Ark. / Stuttgart HS",
1,,,0.0,David Walker,DE,6-3,265.0,So.,"Stuttgart, Ark. / Southern Arkansas",
2,,,1.0,Jarrod Barnes,WR,5-11,180.0,Jr.,"Cabot, Ark. / Univ. of Arkansas",
3,,,2.0,KeMari (KC) Clark,DB,6-0,180.0,Jr.,"Fayette, Miss. / SW Mississippi CC",
4,,,2.0,Will McElvain,QB,5-11,185.0,Jr.,"Des Moines, Iowa / Northern Iowa",
5,,,3.0,James Jordan,DB,5-10,175.0,R-Fr.,"Little Rock, Ark. / Robinson HS",
6,,,3.0,John David White,WR,5-11,190.0,Jr.,"Little Rock, Ark. / Arkansas",
7,,,4.0,Cameron Godfrey,DB,6-0,190.0,Jr.,"Spring, Texas / Klein Collins HS",
8,,,4.0,Darius Hale,RB,5-11,225.0,So.,"Pearland, Texas / Pearland HS",
9,,,5.0,Laquez Embry,DB,6-2,180.0,So.,"Adamsville, Ala. / Minor HS",
10,,,5.0,Trysten Smith,RB,5-10,215.0,So.,"Duncanville, Texas / Duncanville HS",
11,,,6.0,Christian Cain,DB,6-2,195.0,Sr.,"Grenada, Miss. / Northwest (Miss.) CC",
12,,,6.0,Christian Richmond,WR,5-8,175.0,Jr.,"Cypress, Texas / Cy-Fair HS",
13,,,7.0,Kylin James,RB,6-0,220.0,So.,"Dumas, Ark. / Dumas HS",
14,,,7.0,TaMuarion Wilson,DB,6-2,205.0,So.,"Bryant, Ark. / Bryant HS",
15,,,8.0,Jalen Bedell,DL,6-2,315.0,Sr.,"Greenwood, Miss. / Copiah-Lincoln CC",
16,,,8.0,Austin Myers,QB,6-4,190.0,Fr.,"Vilonia, Ark. / Vilonia HS",
17,,,9.0,Logan Jessup,DE,6-3,255.0,Jr.,"Wynne, Ark. / Wynne HS",
18,,,9.0,Trustin Oliver,WR,6-4,215.0,So.,"Los Angeles, Calif. / Colorado",
19,,,10.0,Cole Brown,WR,6-3,205.0,So.,"Dallas, Ga. / Iowa Western CC",
20,,,10.0,Noah Mitchell,LB,6-2,225.0,Jr.,"Leaksville, Miss. / Pearl River CC",
21,,,11.0,Demetrias Charles,LB,6-0,210.0,So.,"Texarkana, Ark. / Texarkana HS",
22,,,11.0,Payton Petroff,TE,5-10,220.0,Fr.,"Royse City, Texas / Royse City HS",
23,,,12.0,Simeon Dotson,DB,5-11,180.0,Jr.,"Houston, Texas / George HW Bush HS",
24,,,13.0,Myles Kitt-Denton,WR,6-1,180.0,So.,"Pearland, Texas / Dawson HS",
25,,,14.0,Myles Butler,WR,6-2,190.0,R-Fr.,"Montgomery, Ala. / Montgomery Catholic",
26,,,15.0,C.J. Bosket,DB,6-0,180.0,So.,"Saluda, SC / Navarro College",
27,,,16.0,T.D. Williams,DB,6-1,185.0,So.,"Hollandale, Miss. / Hinds CC",
28,,,17.0,Clifton McDowell,QB,6-4,220.0,Jr.,"Spring, Texas / Louisiana-Lafayette",
29,,,18.0,Corley Hooper,LB,6-2,220.0,Jr.,"Ecru, MS / Itawamba CC",
