,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown,High School,Previous School,Image,Name,Title
0,,0.0,Koby Duru,WR,Sr.,6-2,200.0,"Diamond Bar, Calif.",Bishop Amat HS,San Diego State,,,
1,,2.0,Aalah Brown,WR,So.,5-10,185.0,"Valdosta, Ga.",Valdosta HS,Jackson State,,,
2,,5.0,Javon Davis,DB,So.,6-0,170.0,"River Ridge, La.",John Curtis Christian HS,,,,
3,,5.0,D'angelo Durham,RB,Sr.,6-1,200.0,"Augusta, Ga.",Grovetown HS,Savannah State,,,
4,,11.0,Dillon Simon,WR,R-So.,5-9,190.0,"Lake Charles, La.",Lake Charles College Prep,,,,
5,,11.0,Tag Stelly,WR,R-Fr.,5-11,185.0,"Sulphur, La.",Sulphur HS,,,,
6,,12.0,Cameron McCalister,QB,R-Fr.,6-3,165.0,"Friendswood, Texas",Clear Brook HS,,,,
7,,13.0,Ryan Roberts,QB,R-Fr.,6-0,185.0,"Lafayette, La.",Lafayette Christian Academy,,,,
8,,15.0,Jalen Johnson,WR,Jr.,5-9,175.0,"New Orleans, La.",Holy Cross HS,,,,
9,,18.0,Nathan Barnett,WR,R-Fr.,6-1,185.0,"Houston, Texas",Clear Brook HS,,,,
10,,19.0,Thomas Miles,DB,Jr.,6-1,192.0,"Alexandria, La.",Peabody Magnet High School,,,,
11,,19.0,Kerry Quashijah,DB,So.,5-10,180.0,"Cypress, Texas",Cypress Ranch HS,,,,
12,,21.0,Jayce Bludau,LB,R-Fr.,6-0,208.0,"Hallettsville, Texas",,Kilgore CC,,,
13,,22.0,Kyle Klink,TE,Sr.,6-4,245.0,"Middletown, Md.",Middletown HS,Harvard,,,
14,,23.0,Kameran Senegal,WR,So.,5-9,160.0,"Zachary, La.",Zachary HS,,,,
15,,24.0,Josh Parker,RB,Jr.,5-10,190.0,"Baton Rouge, La.",Catholic High School,,,,
16,,25.0,Joshon Barbie,RB,R-Fr.,5-9,180.0,"Harvey, La.",West Jefferson HS,,,,
17,,25.0,Darius Shields,DB,R-Jr.,5-10,184.0,"Houston, Texas",Lamar HS,,,,
18,,26.0,Richard Akers,DB,R-So.,5-11,160.0,"Baltimore, Md.",Milford Mill Academy,Shepherd College,,,
19,,27.0,Simeon Jones,WR,R-Fr.,6-1,185.0,"Lafayette, La.",Lafayette HS,,,,
20,,28.0,Joe Ward,DB,R-Fr.,5-11,170.0,"Lake Charles, La.",Lake Charles College Prep,,,,
21,,29.0,Jaylon Henry,WR,R-Fr.,6-0,180.0,"Baton Rouge, La.",Woodlawn Magnet HS,,,,
22,,30.0,CJ Moya,PK,Jr.,5-10,180.0,"Naples, Fla.",Palmetto Ridge,Hutchinson CC,,,
23,,31.0,Twillie Lovett,DB,Jr.,6-1,174.0,"Belle Chasse, La.",Belle Chasse HS,,,,
24,,32.0,Jerome Robinson,CB,So.,-,,,,,,,
25,,33.0,Crajaun Bennett,DB,So.,5-11,160.0,"Iowa, La.",Iowa HS,,,,
26,,33.0,Ivory Roberts,RB,Jr.,5-7,190.0,"Houston, Texas",Westfield HS,,,,
27,,34.0,Jordan Toaston,LB,So.,6-3,230.0,"Baton Rouge, La.",Baton Rouge Catholic HS,,,,
28,,35.0,Brandon Hayden,PK,R-Jr.,6-0,194.0,"Sulphur, La.",Sulphur High School,Louisiana College,,,
29,,36.0,Tremayne Evans,DB,R-Jr.,5-10,174.0,"Houston, Texas",Benjamin Davis High School,,,,
30,,36.0,Jarvis Newton,RB,R-Fr.,5-11,190.0,"Alexandria, La.",Alexandria Senior HS,,,,
31,,37.0,Garrison Smith,PK,So.,5-10,150.0,"Norwalk, Ohio",Norwalk HS,Ohio State,,,
32,,38.0,Callum Eddings,P,Jr.,5-11,160.0,,,,,,
33,,39.0,Jake Held,DB,So.,5-11,170.0,"Youngstown, La.",Southside HS,,,,
34,,41.0,Tyronne Hayes,TE,So.,6-3,205.0,"New Orleans, La.",Archbishop Rummel HS,,,,
35,,42.0,Earenest Grayson III,DE,R-Jr.,6-3,250.0,"Tulsa, Okla.",Jenks HS,,,,
36,,43.0,Cale Jacobson,,So.,-,,,,,,,
37,,44.0,Phillip Bradford,DL,R-Fr.,6-6,318.0,"Monroe, La.",Ouachita Parish HS,,,,
38,,45.0,Sedric Applewhite,DL,R-Fr.,6-6,200.0,"Bossier City, La.",Bossier HS,,,,
39,,47.0,Khaylon Chapple,DE,R-Jr.,6-3,249.0,"Haughton, La.",Haughton High School,,,,
40,,48.0,Micah Davey,LB,R-So.,6-2,236.0,"Baton Rouge, La.",University Lab,,,,
41,,49.0,Masey Lewis,DE,R-Fr.,6-4,250.0,"Breaux Bridge, La.",Lafayette Christian Academy,,,,
42,,50.0,Trey Vondenstein,LS,R-Sr.,6-3,199.0,"Katy, Texas",Seven Lakes HS,,,,
43,,53.0,Jacob Lafitte,P,So.,6-1,180.0,"Shreveport, La.",Loyola College Prep,,,,
44,,54.0,Payton Parks-Smith,OL,So.,6-5,287.0,"Sterlington, La.",Sterlington HS,,,,
45,,56.0,Brayden Adams,LB,R-Sr.,6-2,218.0,"Lake Charles, La.",Barbe HS,,,,
46,,57.0,Will Rogers,DL,R-So.,6-4,300.0,"Hampton, Ga.",Lovejoy HS,University of South Carolina,,,
47,,59.0,Grayson Mays,DL,R-So.,6-2,234.0,"Bellville, Texas",Bellville HS,,,,
48,,60.0,Paxton Crouse,OL,Jr.,5-9,255.0,"Ponchatoula, La.",Ponchatoula HS,,,,
49,,61.0,Cole LeClair,OL,So.,6-3,311.0,"Middleburg, Fla.",,Valdosta State,,,
50,,62.0,Juan Gonzales,OL,So.,6-1,321.0,"New Orleans, La.",John Curtis HS,,,,
51,,64.0,Jack Zelezinski,OL,R-So.,6-5,274.0,"Houston, Texas",Summer Creek HS,,,,
52,,65.0,James Reddick,OL,So.,6-3,320.0,"Fort Valley, Ga.",Peach County HS,Jackson State,,,
53,,66.0,Dylan Dauzart,OL,Jr.,6-3,300.0,"Alexandria, La.",Alexandria Senior HS,,,,
54,,67.0,Jayden Davis,OL,R-Fr.,6-4,280.0,"Beaumont, Texas",West Brook Sr. HS,,,,
55,,68.0,Jayln Easton,OL,R-Fr.,6-5,295.0,"Lake Charles, La.",Lake Charles College Prep,,,,
56,,70.0,Hezekiah Neason,OL,Jr.,6-4,323.0,"Amite, La.",Amite High School,,,,
57,,75.0,Hayes Creel,OL,R-Fr.,6-7,300.0,"Mt. Hermon, La.",St. Paul's HS,,,,
