,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Hometown,High School,Previous School,Title
0,,0.0,,Tyrin Bradley,DL,6-4,255.0,Jr.,"Lubbock, Texas",Monterey HS,,
1,,0.0,,Jay'Veon Sunday,RB,6-0,201.0,So.,"Waco, Texas",Connally HS,Washington,
2,,1.0,,Maverick McIvor,QB,6-2,210.0,Jr.,"San Angelo, Texas",Central HS,Texas Tech,
3,,2.0,,Marcayll Jones,WR,5-9,178.0,So.,"Warner Robbins, Ga.",Warner Robbins HS,Memphis,
4,,2.0,,Jordan Mukes,DB,6-3,210.0,So.,"Choctaw, Okla.",Choctaw HS,Oklahoma,
5,,3.0,,Rovaughn Banks Jr.,RB,5-10,200.0,So.,"Tulsa, Okla.",Union HS,,
6,,4.0,,"Anthony Egbo, Jr.",DB,5-8,190.0,Sr.,"Richmond, Texas",Foster HS,,
7,,4.0,,Davion Johnson,WR,5-8,170.0,Sr.,"Bedford Heights, Ohio",Bedford HS,Southwestern CC,
8,,4.0,,Ethan Long,QB,6-2,210.0,Sr.,"West Linn, Ore.",West Linn HS,Arizona State,
9,,5.0,,Trey Adams,S,5-10,200.0,Sr.,"Corvallis, Ore.",Crescent Valley HS,Northern Colorado,
10,,5.0,,Tristan Golightly,WR,6-4,205.0,Jr.,"Mesquite, Texas",Poteet HS,Kansas,
11,,6.0,,Dustin Inness,LS,5-11,195.0,Sr.,"Phoenix, Ariz.",Northwest Christian HS,,
12,,6.0,,Taelyn Williams,WR,6-2,175.0,Sr.,"Euless, Texas",Euless Trinity HS,,
13,,7.0,,Elijah Moffett,S,6-2,205.0,Jr.,"Selma, Texas",Veterans Memorial HS,,
14,,8.0,,JaDarius Thursby,DB,5-11,175.0,So.,"Duncanville, Texas",Duncanville HS,SMU,
15,,9.0,,Alex Bowman Jr.,DL,6-2,245.0,Rf.,Dallas,James Madison HS,,
16,,12.0,,Triston Anderson,DB,6-2,195.0,Sr.,"Rockwall, Texas",Rockwall HS,Arkansas State,
17,,13.0,,Blayne Taylor,WR,6-5,205.0,Jr.,"Saginaw, Texas",Saginaw HS,Cisco College,
18,,15.0,,Carter Highhouse,QB,6-2,205.0,Jr.,"Mattawan, Mich.",Portage Central HS,Butler,
19,,16.0,,Denver Holman,WR,5-10,185.0,Jr.,"Belton, Texas",Belton HS,Mary Hardin-Baylor,
20,,17.0,,Trevor Baker,QB,6-3,195.0,So.,"Needville, Texas",Needville HS,,
21,,17.0,,Dishon Hall II,DB,6-3,195.0,Jr.,"Normal, Ill.",Normal Community HS,Iowa Central CC,
22,,19.0,,Dax Neece,WR,6-3,210.0,Sr.,"Albany, Texas",Albany HS,Texas Tech,
23,,19.0,,Dorian Plumley,S,6-0,190.0,So.,"El Reno, Okla.",El Reno HS,Oklahoma,
24,,20.0,,Javion Hunt,RB,6-0,205.0,So.,"Midwest City, Okla.",Carl Albert HS,Arkansas,
25,,20.0,,Brandon Ramsey,DB,6-0,190.0,Rf.,"Owasso, Okla.",Owasso HS,,
26,,21.0,,Jermiah Dobbins,RB,5-11,195.0,Jr.,"Lubbock, Texas",Estacado HS,,
27,,23.0,,Patrick Jolly,DB,6-2,185.0,Sr.,"Tampa, Fla.",Newsome HS,UCLA,
28,,24.0,,Darius Moore,LB,6-1,235.0,Jr.,"El Reno, Okla.",El Reno HS,Northeastern Oklahoma A&M,
29,,25.0,,Izaiah Kelley,LB,6-2,210.0,Jr.,"Lubbock, Texas",Coronado HS,SMU,
30,,26.0,,Jailen Dixon,LB,6-3,210.0,R-So.,"Electra, Texas",Electra HS,,
31,,32.0,,Xavier Wishert,RB,6-1,200.0,Rf.,"Tuscola, Texas",Jim Ned HS,,
32,,33.0,,Kelekolio Linton,DB,5-10,190.0,So.,"Pearland, Texas",Pearland HS,Tyler Junior College,
33,,35.0,,Ethan Taite,LB,6-3,220.0,Jr.,"Frisco, Texas",Independence HS,,
34,,36.0,,Rece Stafford,TE,6-0,235.0,Sr.,"Frisco, Texas",Frisco Wakeland HS,,
35,,37.0,,Casen Olson,S,6-1,190.0,So.,"Waynoka, Okla.",Waynoka HS,,
36,,41.0,,T.J. Marshall,S,6-1,190.0,So.,"Pearland, Texas",Shadow Creek HS,Houston,
