,Statistic,#,Name,C,Cl.,Pos.,Ht.,Wt.,Hometown / High School / Prep (Previous College),Major,Image,Title
0,,0.0,Myles Taylor,,Sr.,LB,6-1,214.0,"New Rochelle, N.Y. / New Rochelle / Maine",Music Composition,,
1,,1.0,Malakai Anthony,,Jr.,QB,6-2,220.0,Washington D.C. / DeMatha High School,Business Administration,,
2,,1.0,Kenneth Cooper,,Jr.,S,6-1,190.0,"Memphis, Tenn. / Riverdale Baptist High School",Sports Medicine,,
3,,2.0,Garry Rosemond Jr.,,So.,DB,5-10,175.0,"Washington, D.C. / St. John's",Health Sciences,,
4,,3.0,Tyvon Edmonds Jr.,,Jr.,RB,5-8,190.0,"White Plains, Md. / Bishop McNamara",Public Health,,
5,,3.0,Donte Williams,,Jr.,S,5-9,190.0,"New Rochelle, N.Y. / Trinity Pawling",Sports Management,,
6,,4.0,Tre Jordan III,,Jr.,DB,6-0,190.0,"Edgewood, Md. / Calvert Hall",,,
7,,4.0,John Perry Jr.,,Jr.,QB,5-10,175.0,"Sugar Land, Texas / Clements High School",Business,,
8,,5.0,Shaka Moales,,Sr.,RB,5-9,195.0,"Bridgeport, Conn. / St. Luke's School / Choate Rosemary Hall",Business,,
9,,5.0,Jay Thompson,,Jr.,DL,6-2,240.0,"Baltimore, Md. / Franklin High School",Business,,
10,,6.0,Camari Glasgow,,Sr.,RB,6-1,215.0,"Bronx, N.Y. / Iona Preparatory",Sports Management,,
11,,8.0,Jelani Mason,,Jr.,WR,5-10,185.0,"Plainfield, N.J. / Saint Peter's Prep",,,
12,,8.0,Darion McKenzie,,Gr.,DB,6-2,200.0,"Berlin, Md. / Saint Frances Academy",,,
13,,9.0,Josh Addo,,Jr.,DB,6-2,210.0,"Minneapolis, Minn. / Perry Hall",Exercise Science,,
14,,9.0,Justin Lewis,,So.,QB,6-1,200.0,"Kennesaw, GA / Harrison High School",,,
15,,12.0,Cameron Dalrymple,,So.,DB,6-2,190.0,"Calvert County, Md. / Huntingtown",Athletic Training,,
16,,12.0,John Griffith,,R-Fr.,QB,6-1,210.0,"Linthicum, MD / St. Frances Academy / University of Maryland",,,
17,,13.0,Chase Collyer,,So.,WR,5-8,170.0,"Windsor, Conn / Loomis Chaffee",,,
18,,13.0,Tommie McKoy III,,So.,LB,5-11,205.0,"Upper Marlboro, Md. / St. Mary's Annapolis",Business Marketing,,
19,,14.0,Nasir Maryland,,So.,DB,6-1,170.0,"Ramsey, NJ / Don Bosco Prep",,,
20,,15.0,Jabari Echols,,So.,DB,6-0,190.0,"Baltimore, MD / Mount St. Joseph / University of Maine",,,
21,,15.0,Gavin McCusker,,So.,QB,6-2,195.0,"Exeter Township, Pa. / Exeter Township",Business Administration,,
22,,16.0,Mike Johnson,,So.,LB,5-10,215.0,"Baltimore, Md. / Calvert Hall",Communications and Media,,
23,,17.0,Nicholas Lenon,,Jr.,DL,6-2,245.0,"Baltimore, Md. / Calvert Hall College H.S.",Communications,,
24,,17.0,Jason Smith,,Gr.,WR,6-0,205.0,"Baltimore, Md. / Loyola Blakefield",Sports Management,,
25,,18.0,Kendal Sims,,So.,LB,6-1,225.0,"Washington, DC / Saint John's College",,,
26,,18.0,Donovan Wadley,,So.,WR/RB,5-9,180.0,"Newark, N.J. / Weequahic",Undecided,,
27,,19.0,DJ Frazier,,R-Fr.,LB,6-0,210.0,"Washington, DC / Franklin",Exercise Science,,
28,,22.0,Grant Jackson,,Jr.,DB,5-10,190.0,"Gaithersburg, Md. / Good Counsel",Marketing,,
29,,23.0,Deon Houston,,Jr.,DB,5-9,180.0,"Reisterstown, Md. / Franklin High School",,,
30,,24.0,Collin Heard,,Gr.,DB,5-10,180.0,"Southfield, Mich. / West Bloomfield / Southern Illinois Univ./ Colgate",,,
