,Statistic,#,Full Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Name,Title
0,,3.0,Damon Horton,R-Jr.,RB,6-0,210.0,"Philadelphia, Pa. / Hazelton Area",,,,
1,,4.0,Cole Doyle,R-Jr.,QB,5-10,170.0,"Glendale, Calif. / Crescenta Valley",College of the Canyons,,,
2,,6.0,Norval Black,R-Sr.,WR,6-1,160.0,"Germantown, Md. / Northwest",Penn State,,,
3,,9.0,Dominic Bevilacqua,So.,QB,5-10,185.0,"Suffolk, Va. / Nansemond-Suffolk Academy",,,,
4,,11.0,Kendal Marks,So.,DB,5-11,155.0,"Baltimore, Md. / Mergenthaler Vocational Technical",,,,
5,,12.0,"Nick Whitfield, Jr.",So.,QB,6-5,200.0,"Fredonia, N.Y. / Fredonia",,,,
6,,13.0,Aakeem Snell,Sr.,DB,6-3,185.0,"Penn Hills, Pa. / Penn Hills",Lackawanna College,,,
7,,14.0,Larmar Frazier,R-Fr.,DB,6-1,175.0,"Sunrise, Fla. / Piper",,,,
8,,17.0,Kai Williams,R-Sr.,WR,6-2,205.0,"Johns Creek, Ga. / Mount Pisgah Christian",,,,
9,,18.0,Adrian Mejia,So.,QB,6-1,175.0,"West Springfield, Va. / West Springfield",,,,
10,,18.0,Dawson Snyder,R-Jr.,WR,6-4,190.0,"Berlin, Pa. / Shanksville-Stonycreek",,,,
11,,20.0,QuaSean Holmes,Jr.,RB,5-11,195.0,"Charlotte, N.C. / Mallard Creek",ASA College,,,
12,,21.0,Kerry Galloway,R-Sr.,DB,5-7,145.0,"Wilmington, Del. / DuPont",,,,
13,,22.0,Kennyth Kennedy,R-Fr.,DB,6-1,170.0,"Paterson, N.J. / Paramus Catholic",,,,
14,,22.0,Tobee Stokes,Jr.,RB,5-10,170.0,"York, Pa. / William Penn",,,,
15,,23.0,Kesean Dyson,Jr.,LB,6-1,220.0,"Ashburn, Va. / Broad Run",,,,
16,,24.0,Kyle Craig,R-Sr.,LB,6-2,195.0,"Haymarket, Va. / Battlefield",,,,
17,,25.0,William Middleton,Jr.,LB,5-11,200.0,"Montgomery, Ala. / Robert E. Lee",New Mexico Military Institute,,,
18,,27.0,Luke Edwards,So.,RB,6-0,190.0,"New Castle, Pa. / Wilmington",,,,
19,,27.0,Macrae Plummer,R-Fr.,K,5-10,170.0,"Lebanon, Pa. / Annville Cleona",,,,
20,,28.0,Mark Conrad,R-Sr.,DB,6-2,190.0,"Altoona, Pa. / Bishop Guilfoyle",,,,
21,,31.0,Deondre Scott,Sr.,RB,5-11,190.0,"Stafford, Va. / Brooke Point",Lackawanna College,,,
22,,32.0,Nathaniel Frye,R-Fr.,DB,5-8,165.0,"Manor, Pa. / Penn-Trafford",,,,
