,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School,Previous School,Image,Title
0,,,Taylen Blaylock,DB,5-10,195.0,So.,"Humble, Texas",Atascocita,Sam Houston State,,
1,,,Mac Busteed,TE,6-6,225.0,Fr.,"Fort Collins, Colo.",Fossil Ridge,,,
2,,,Nate Compere,OL,6-4,260.0,Fr.,"Crystal Lake, Ill.",Crystal Lake South,,,
3,,,Luke Cook,DB,6-3,180.0,Fr.,"Bethpage, Tenn.",Gallatin,,,
4,,,Finau Fine,DL,6-5,259.0,So.,"Kissimmee, Fla.",Gateway,Stetson,,
5,,,Gabe Gaines,OL,6-4,275.0,Fr.,"Choctaw, Okla",Choctaw,,,
6,,,Chris Gannaway,RB,5-10,175.0,Fr.,"Bryant, Ark.",Bryant,,,
7,,,Bryce Giesler,RB,5-10,175.0,Fr.,"Ste. Genevieve, Mo.",Valle Catholic,,,
8,,,Von Gordon,RB,5-11,215.0,Jr.,"North Chicago, Ill.",North Chicago,West Hills JC,,
9,,,Thomas Gothard,DB,6-2,185.0,Fr.,"Tulsa, Okla.",Union,,,
10,,,Will Graham,K,5-10,145.0,Fr.,"Centralia, Ill.",Centralia,,,
11,,,Zach Hahn,WR,5-11,182.0,R-Jr.,"St. Louis, Mo.",CBC,Missouri,,
12,,,Steve Hall,RB,5-11,205.0,Fr.,"St. Louis, Mo.",MICDS,,,
13,,,Anthony Hills,WR,6-3,190.0,Fr.,"Owasso, Okla.",Owasso,,,
14,,,Logan Hunter,OL,6-4,280.0,Fr.,"Johnston City, Ill.",Johnston City,,,
15,,,Tobias Jewell,DB,6-3,165.0,Fr.,"Milwaukee, Wis.",Riverside,,,
16,,,Jaydyn Johnson,DB,6-2,211.0,So.,"Dunbar, W.Va.",Cabell Midland,Marshall,,
17,,,Cooper Justice,QB,6-6,240.0,So.,"Tigard, Ore.",Lakeridge,Utah/Hutchinson JC,,
18,,,Jamison Kemp,DL,6-2,290.0,Fr.,"Omaha, Neb.",Omaha Central,,,
19,,,Tyler Kubat,QB,6-5,205.0,Fr.,"Fort Collins, Colo.",Fossil Ridge,,,
20,,,Zach Lewis,LB,6-1,220.0,Fr.,"Superior, Colo.",Fairview,,,
21,,,Dea'blo McGee,WR,6-2,188.0,So.,"St. Louis, Mo.",Roosevelt,Butler Community College,,
22,,,George Miki-Han,OL,6-0,310.0,So.,"Irvine, Calif.",Mater Dei,Colorado State,,
23,,,Josh Newkirk,DB,6-3,175.0,Fr.,"Bixby, Okla.",Bixby,,,
24,,,Will Nicholson,LB,6-3,195.0,Fr.,"Belleville, Ill.",Belleville West,,,
25,,,Tajay Passmore,DL,6-2,275.0,Jr.,"Queens, N.Y.",Mater Dei,Wagner,,
26,,,Gavin Shaigineik,QB,6-0,155.0,Fr.,"Rancho Santa Margarita, Calif.",Tesoro,,,
27,,,Jalen Smith,WR,6-4,190.0,Fr.,"Shiloh, Ill.",O'Fallon Township,,,
28,,,Ethan Stuhlsatz,LB,6-5,212.0,So.,"Wichita, Kan.",Kapuan Mt. Carmel,Butler CC,,
29,,,Jack Stump,DL,6-2,230.0,Fr.,"Morton, Ill.",Morton,,,
30,,,Cole Watson,TE,6-4,225.0,Fr.,"Lawrence, Kan.",Lawrence,,,
31,,,Andrew Zook,DL,6-4,250.0,Fr.,"Yorkville, Ill.",Yorkville,,,
0,,,Jed Stugart,,,,,,,,,Head Coach
1,,,Dusty Hovorka,,,,,,,,,Offensive Coordinator
2,,,Eric Inama,,,,,,,,,Defensive Coordinator/NFL Liaison
3,,,Bryan Baldwin,,,,,,,,,Special Teams Coordinator/Defensive Backs
4,,,Jarrett Grabbe,,,,,,,,,Defensive Line
5,,,Tore' Hurst,,,,,,,,,Wide Receivers
6,,,Denver Johnson,,,,,,,,,Offensive Line
7,,,Corey Bethany,,,,,,,,,Video Coordinator/Quarterbacks
8,,,Pat Stewart,,,,,,,,,Linebackers
9,,,Mark Goldenberg,,,,,,,,,Tight Ends
10,,,Lane Lawson,,,,,,,,,Assistant Linebackers
11,,,Alex Garcia,,,,,,,,,Defensive Line
12,,,Anthony Jones,,,,,,,,,Recruiting Coordinator/Running Backs
13,,,Jack Storm,,,,,,,,,Defensive Analyst
14,,,Corey Newsome,,,,,,,,,Defensive Analyst
15,,,JC Hull,,,,,,,,,"Athletic Performance, Football"
16,,,Keagan Roberson,,,,,,,,,Director of Football Operations
17,,,Blake Moore,,,,,,,,,Defensive Quality Control
18,,,Zeke Scott,,,,,,,,,Offensive Quality Control
