,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School,Previous School,Image,Title
0,,0.0,Zach Mathis,WR,6-6,205.0,Sr.,"Tampa, Fla.",Berkeley Prep HS,,,
1,,1.0,Courtney Eubanks,CB,5-10,187.0,Jr.,"St. Petersburg, Fla.",Admiral Farragut Academy,,,
2,,2.0,Kellen Entz,WR,6-2,207.0,Fr.,"West Fargo, N.D.",Sheyenne HS,,,
3,,2.0,Dawson Weber,S,6-2,190.0,Sr.,"Elk Grove, Calif.",Pleasant Grove HS,,,
4,,4.0,Kobe Johnson,RB,5-9,188.0,Sr.,"Lawrenceville, Ga.",Discovery HS,,,
5,,5.0,Bryce Lance,WR,6-3,200.0,RFr.,"Marshall, Minn.",Marshall HS,,,
6,,6.0,Destin Talbert,CB,6-0,187.0,Sr.,"Darien, Ill.",Hinsdale South HS,,,
7,,6.0,Cedric Wall,WR,6-1,186.0,Fr.,"Rosemount, Minn.",Rosemount HS,,,
8,,7.0,Cam Miller,QB,6-1,212.0,Jr.,"Solon, Iowa",Solon HS,,,
9,,8.0,Barika Kpeenu,RB,5-10,204.0,RFr.,"Fargo, N.D.",West Fargo Sheyenne HS,,,
10,,10.0,Dom Jones,S,6-3,197.0,Jr.,"Duluth, Ga.",Peachtree Ridge HS,,,
11,,12.0,Braylon Henderson,WR,5-9,177.0,Jr.,"Wylie, Texas",Plano East HS,,,
12,,13.0,Anthony Coleman,CB,5-10,178.0,Jr.,"Grimes, Iowa",Johnston HS,,,
13,,14.0,Nathan Hayes,QB,6-3,202.0,Fr.,"West Chicago, Ill.",St. Charles East HS,,,
14,,14.0,Enock Sibomana,LB,5-10,204.0,RFr.,"Fargo, N.D.",Fargo South HS,,,
15,,15.0,Cole Payton,QB,6-3,230.0,RFr.,"Omaha, Neb.",Westside HS,,,
16,,16.0,Peter Anderson,QB,6-1,203.0,RFr.,"Hoffman Estates, Ill.",Barrington HS,,,
17,,17.0,RaJa Nelson,WR,5-8,190.0,Jr.,"Lakeville, Minn.",Lakeville North HS,,,
18,,19.0,Jake Lippe,WR,6-2,203.0,Jr.,"Port Washington, Wis.",Port Washington HS,,,
19,,20.0,Julian Wlodarczyk,LB,6-3,207.0,Sr.,"Naperville, Ill.",Metea Valley HS,,,
20,,21.0,Hudson Artz,S,5-11,186.0,Fr.,"Fairmont, Minn.",Fairmont HS,,,
21,,21.0,Jalen Bussey,RB,5-5,160.0,Jr.,"Tampa, Fla.",Tampa Catholic HS,,,
22,,22.0,TaMerik Williams,RB,6-1,229.0,Sr.,"Angleton, Texas",Angleton HS,SMU,,
23,,23.0,Jayden Price,CB,6-0,184.0,Sr.,"Derby, Kan.",Mulvane HS,,,
24,,24.0,Jenaro Ocama,CB,6-1,188.0,Jr.,"Woodbury, Minn.",Woodbury HS,,,
25,,25.0,Michael Tutsie,S,5-11,189.0,Sr.,"Indianapolis, Ind.",Warren Central HS,,,
26,,26.0,James Kaczor,LB,6-0,215.0,Sr.,"St. Cloud, Minn.",St. Cloud Tech HS,,,
27,,27.0,Ryan Jones,S,6-3,201.0,RFr.,"Frisco, Texas",Reedy HS,,,
28,,28.0,TK Marshall,RB,5-11,204.0,Jr.,"Minneapolis, Minn.",Southwest HS,,,
29,,29.0,Jaquise Alexander,CB,5-11,158.0,Fr.,"Ruskin, Fla.",Sumner HS,,,
30,,30.0,Darius Givance,DB,6-2,199.0,Fr.,"Champlin, Minn.",Champlin Park HS,,,
31,,31.0,Cole Wisniewski,LB,6-4,225.0,Jr.,"Sparta, Wis.",Sparta HS,,,
32,,32.0,John Gores,WR,5-5,157.0,Fr.,"Fargo, N.D.",Shanley HS,,,
33,,32.0,Ty Satter,S,6-2,203.0,So.,"Fargo, N.D.",Fargo Davies HS,,,
34,,33.0,Logan Hofstedt,FB,6-1,237.0,Jr.,"Cannon Falls, Minn.",Cannon Falls HS,,,
35,,34.0,Kegan Huber,CB,5-11,177.0,Fr.,"Lake Geneva, Wis.",Badger HS,,,
36,,34.0,Luke Waters,FB,6-0,232.0,Sr.,"Council Bluffs, Iowa",St. Albert HS,Iowa Western CC,,
37,,35.0,Kelby Azure,TE,6-4,227.0,Fr.,"Portland, N.D.",Northwood HS,,,
38,,35.0,Sam Jung,S,5-11,193.0,Jr.,"Neenah, Wis.",Neenah HS,,,
39,,36.0,Nate Forystek,TE,6-5,237.0,Fr.,"Green Bay, Wis.",Bay Port HS,,,
40,,36.0,Nick Kubitz,LB,6-2,225.0,Jr.,"Dubuque, Iowa",Dubuque HS,,,
41,,37.0,Reggie King,S,6-2,185.0,RFr.,"Grandview, Mo.",Grandview HS,,,
42,,37.0,Drew Klein,K,5-9,167.0,Fr.,"Hortonville, Wis.",Hortonville HS,,,
43,,38.0,Will Cardinal,P,6-2,202.0,Jr.,"Fridley, Minn.",Totino-Grace HS,,,
