,Statistic,#,Name,Cl.,Pos.,Ht.,Wt.,Hometown / Last School,Transfer,Image,Title
0,,0.0,Trey King,Jr.,WR,6-0,180.0,"Centerville, Ohio / Centerville",,,
1,,1.0,Rahmon Hart Jr.,So.,WR,6-3,215.0,"Pittsburgh, Pa. / Imani Christian Academy",Ball State,,
2,,1.0,Jeremiah Josephs,Jr.,DB,5-11,170.0,"Pittsburgh, Pa. / Gateway",Miami (Ohio),,
3,,2.0,Jalin Cooper,Sr.,WR,6-4,200.0,"Medina, N.Y. / Medina",Toledo,,
4,,2.0,Tim Lowery,Jr.,DB,6-0,175.0,"Winter Haven, Fla. / Winter Haven",,,
5,,3.0,Abdul Janneh,So.,WR,6-3,180.0,"Hanover, Pa. / New Oxford",,,
6,,3.0,Ryan Webb,Gr.,DB,5-9,170.0,"Edgewood, Md. / Edgewood",Marist,,
7,,4.0,Billy Lucas,So.,RB,6-0,205.0,"Erie, Pa. / Cathedral Prep",,,
8,,4.0,Shane Stump,So.,LB,6-1,205.0,"Jefferson Hills, Pa. / Thomas Jefferson",,,
9,,5.0,Joey Isabella,So.,WR,5-9,185.0,"Mayfield, Ohio / Mayfield",,,
10,,5.0,Ryan Lopez,Jr.,DL,6-3,285.0,"Jamaica, N.Y. / Bayside",Stony Brook,,
11,,6.0,DaMon Macklin,So.,RB,5-6,150.0,"Pittsburgh, Pa. / University Prep",,,
12,,6.0,Noah Palmer,Jr.,DL,6-4,240.0,"Jefferson Hills, Pa. / Thomas Jefferson",Pitt,,
13,,7.0,Lucas D'Orazio,Sr.,LB,6-2,235.0,"Cuyahoga Heights, Ohio / Cuyahoga Heights",,,
14,,7.0,Darius Perrantes,So.,QB,6-0,220.0,"Los Angeles, Calif. / St. Francis",Rhode Island,,
15,,8.0,Ayden Garnes,R-Fr.,DB,6-0,170.0,"Philadelphia, Pa. / Monsignor Bonner",,,
16,,8.0,"Dwayne Menders, Jr.",Sr.,WR,5-11,170.0,"Miramar, Fla. / Mater Academy Charter",Marist,,
17,,9.0,Todd Hill,Jr.,LB,5-10,240.0,"Homestead, Pa. / Steel Valley",,,
18,,9.0,DeMarcus Ware,Sr.,RB,5-10,195.0,"Memphis, Tenn. / Olive Branch",Samford,,
19,,10.0,Calvin Fowler,Fr.,DB,6-2,180.0,"Parkland, Fla. / Marjory Stoneman Douglas",,,
20,,10.0,Ryan Iacone,So.,WR,6-0,195.0,"Malvern, Pa. / Malvern Prep",,,
21,,11.0,Jaelen Carson,So.,DB,6-0,180.0,"Erie, Pa. / Cathedral Prep",,,
22,,11.0,Joe Mischler,Jr.,QB,5-11,190.0,"Erie, Pa. / Cathedral Prep",Ohio,,
23,,12.0,Jordan Heisey,So.,QB,6-2,200.0,"Dillsburg, Pa. / Northern York",Lock Haven,,
