,Statistic,Image,#,Full Name,C,Pos.,Ht.,Wt.,Year,Hometown,High School,Previous School,Major,Facebook,Instagram,Twitter,Name,Title
0,,,0.0,Nazeviah Burris,,WR,5-11,181.0,So.,"Union, SC",Byrnes,,General Business,,Nazeviah,NazeviahB,,
1,,,0.0,Fermon Reid,*,DE,5-10,240.0,Gr.,"Naples, FL",Gulf Coast,,MBA,fermon.reid.1,fermonreid,FermonReid_,,
2,,,1.0,Rassie Littlejohn,,DB,6-1,173.0,R-Jr.,"Gainesville, GA",Gainesville,,Business,raekwon.littlejohn,twosmooveee,twosmooveee,,
3,,,2.0,Michael Martinez,,WR,5-11,160.0,R-So.,"Richmond, TX",Terry,Western New Mexico,Finance,,yuung_mike,yuungmikey,,
4,,,2.0,Davion Maxwell,,DB,5-11,210.0,R-Jr.,"Boca Raton, FL",Boca Raton,,International Business,,davionmaxwelll,Davion_Maxwell,,
5,,,3.0,Jalen Mason,,WR,5-9,191.0,R-Sr.,"Fort Pierce, FL",Fort Pierce Central,Jacksonville,Psychology,,Sauce.6_,Sauce6_,,
6,,,4.0,Mason Proch,,WR,6-4,231.0,R-So.,"Lake Worth, FL",Park Vista,,Digital Arts,,Mas.on86,Mason_Proch,,
7,,,5.0,Jalon Warthen-Carr,,WR,5-9,200.0,R-So.,"Macon, Ga.",Southwest,Assumption University,Marketing,JalonWOfficial,,,,
8,,,6.0,Marshall Skoloff,,QB,6-1,189.0,So.,"Greenville, SC",Eastside,,Discovery,,mskoloff_6,mskoloff_3,,
9,,,7.0,Connor Becker,,WR,6-4,194.0,R-Jr.,"Hanover, PA",New Oxford,,Business Management,connor.becker.376,connor7becker,cmbtdm8kr,,
10,,,8.0,Kaleb Costner,,TE,6-2,238.0,R-So.,"Daytona Beach, FL",Mainland,,Business Administration,,Kaleb.costner,Kalebcostner4,,
11,,,8.0,Majeste' Hansberry,,LB,6-1,225.0,R-Sr.,"Atlanta, GA",North Atlanta,Fort Valley State,Communication & Media Studies,,MillionDollarMaj,,,
12,,,9.0,Brady Meitz,,QB,6-1,182.0,So.,"Cumming, GA",North Forsyth,,Biology,,bradymeitz,brady_meitz,,
13,,,10.0,Rhyan Cheatham,,CB,6-2,197.0,So.,"Clover, SC",Clover,,Business Administration,,rhyan.c10,RhyanCheatham,,
14,,,10.0,Kamal Gray,,QB,5-10,191.0,So.,"Eagleville, PA",Pope John Paul II,Temple,Business Management,,k.gray.10,kamal_gray10,,
15,,,11.0,Alex Alteus,,LB,6-1,221.0,R-Jr.,"Morehead City, NC",West Carteret,UNC Pembroke,Business Administration,alex.alteus,frantz_alexandre_,alex_alteus,,
16,,,11.0,Quinton Lane,,WR,6-3,205.0,R-Jr.,"Tampa, FL",Robinson,,Business,,qcinco.5,qlane13,,
17,,,12.0,Donovan Tabon,,QB,6-1,189.0,R-Jr.,"Woodbridge, NJ",IMG Academy,,Marketing,,donovan_tabon,DonovanTabon,,
18,,,13.0,Matteo Rodriguez,,QB,6-1,191.0,Fr.,"Thiells, NY",North Rockland,,,,,,,
19,,,14.0,Ja'Veon Ensley,,DS,6-1,179.0,Gr.,"Plainfield, NJ",Hudson Catholic,New Haven/Wagner,,,,ensley_javeon,,
20,,,15.0,Eric Diggs,,DS,6-0,207.0,Gr.,"Whites Creek, TN",Franklin Road Academy,Cornell,MBA,,esdiggs_,ESDiggs,,
21,,,15.0,Alex Piccirilli,*,QB,6-3,217.0,Gr.,"Jupiter, FL",Jupiter Community,,MBA,alex.piccirilli.33,alex_piccirilli,Piccirilli15,,
22,,,16.0,Malik Giles,,DB,5-10,160.0,R-Fr.,"Spring Hill, FL",Bishop McLaughlin,Mount Union,,,,,,
23,,,17.0,Trynyty Conway,,WR,6-1,216.0,R-So.,"Miami, FL",Columbus,,Marketing,,trynytyconway,trynyty_c16,,
24,,,17.0,Hunter Smallback,,DE,6-4,227.0,R-So.,"Windermere, FL",Windermere Prep,,Business Administration,hunter.smallback,hsmallback,huntersmallback,,
25,,,18.0,Tucker Tomberlin,,QB,6-1,195.0,So.,"Jacksonville, FL",Episcopal School,,Finance,,_tomberlin,tuckertomberlin,,
26,,,18.0,Jordan Williams,,LB,6-1,201.0,R-So.,"Naples, FL",Golden Gate,,Health Science,,jordan_239_,Jordan_239,,
27,,,19.0,Julian Sampson,,DB,5-11,175.0,Fr.,"Bolingbrook, IL",Naperville,,Business,,Juliansampson_,Juliansamps0n,,
28,,,20.0,Shiloh Conway,,WR,6-3,204.0,Fr.,"Miami, FL",Columbus,,,,,,,
29,,,20.0,Jason Riedy,,CB,5-11,175.0,So.,"Boynton Beach, FL",American Heritage,,Business Administration,,_JasonRiedy,JasonRiedy11,,
30,,,21.0,CJ Davis,,LB,5-10,215.0,R-So.,"Pensacola, FL",Pensacola Catholic,,Health Science,,cj_davis3,@CJ__Davis3,,
31,,,22.0,Fernando Bryant,,DB,5-8,181.0,Sr.,"Jonesboro, GA",Creekside Christian Academy,Oklahoma Panhandle State,Business Management,,,,,
32,,,22.0,Jalen Leary,,RB,5-8,195.0,R-Jr.,"Savannah, GA",Calvary Day,,Communication & Media Studies,jalen.leary,ja.len22,XtraordinaryJay,,
33,,,23.0,Kaderris Roberts,,RB,5-8,178.0,So.,"Zellwood, FL",Orangewood Christian,,Business Administration,,kxderris,Kaderris2,,
34,,,24.0,Justin Roberson,,DB,5-10,199.0,R-Sr.,"Powder Springs, GA",McEachern,,Sport Business,,j.robe24,_jayrobe_,,
35,,,25.0,Brandon Bush,,K,5-9,165.0,Fr.,"Fort Myers, FL",North Fort Myers,,,,_bush12_,brandon_bush12,,
36,,,25.0,David Stubbs,,CB,5-10,165.0,So.,"Palm Coast, FL",Flagler Palm Coast,,Finance,david.stubbs.50951,,d_stubbs2,,
37,,,26.0,Nathaniel Dent II,,CB,5-10,176.0,Jr.,"Powder Springs, GA",McEachern,,Computer Information Systems,,,@NathanielDent,,
38,,,27.0,Chachi Perez,,FS,5-10,186.0,Fr.,"La Verne, CA",Damien,,,,Chach.Perez,ChachiPerez2022,,
39,,,28.0,Devon Brewer,,RB,5-10,187.0,Gr.,"Dundalk, MD",Boys Latin,Cornell,,,chefdboe,devonbrewer22,,
40,,,29.0,Micah Adams,,DB,6-1,171.0,R-So.,"Palmdale, CA",Paraclete,,Business,,miicah.adamss,adams1k19,,
41,,,30.0,Terel Harris,,CB,5-10,161.0,Fr.,"West Palm Beach, FL",Dwyer,,,,,,,
42,,,32.0,Donovan Shepard,,RB,5-7,171.0,Fr.,"Raleigh, NC",Cardinal Gibbons,,,,,,,
43,,,33.0,Trent Phillips,,TE,6-2,227.0,R-So.,"Winter Garden, FL",Ocoee Legacy Charter,,Business Economics,,,trentp1105,,
44,,,34.0,Zarrion Robinson,,DB,6-2,193.0,So.,"Madison, FL",Madison County,,Discovery,zarrion.robinson.7,Sheluv.ze,Zarrion6,,
45,,,35.0,Marshall Golick,,K,5-9,159.0,Jr.,"Smyrna, GA",Woodward Academy,,,marshall.golick,,mgolick85,,
46,,,36.0,D.J. Clark,,RB,5-10,197.0,Fr.,"Ellenton, FL",Saint Stephens Episcopal,,,,dclark_941,dclark_941,,
47,,,38.0,Cameron Gillis,,K,5-7,146.0,R-So.,"Budapest, Hungary",IMG Academy,,Economics,,_cg38_,cam14g,,
48,,,39.0,Nikkem Reynolds,,CB,5-11,207.0,Jr.,"Orlando, FL",Dr. Phillips,Mars Hill,,,Nike.No.Check,NikkemReynolds,,
49,,,40.0,RJ Williams,,DB,6-0,198.0,So.,"Madison, FL",Madison County,,Psychology,,rj_will10,RJWilliams_14,,
50,,,42.0,Dominic Carlucci,,TE,6-2,250.0,R-So.,"Raleigh, NC",Cardinal Gibbons,,Marketing/Professional Sales,dominic.g.fox,thedominiccarlucci,dlcarlucci1,,
51,,,42.0,Caleb Jolley,,DS,6-2,179.0,Fr.,"Spring Hill, TN",Summit,,,caleb.jolley.3,c_jolley6,jolley_caleb,,
52,,,43.0,Sam Mudge,,TE,6-3,211.0,Fr.,"Panama City, FL",J.R. Arnold,,,,,,,
53,,,44.0,Diego Davis,,LB,5-11,233.0,Fr.,"Napa, CA",Vintage,,,,,,,
54,,,45.0,Jackson Ellerbee,,RB,5-9,194.0,So.,"Monroe, GA",George Walton Academy,,Business Administration,,jacksonellerbee,jack_ellerbee,,
55,,,46.0,Andy Petit-Homme,,DB,5-11,202.0,R-So.,"Lake Worth, FL",Royal Palm Beach,,Business Administration,,1k.andy,andypetit9,,
56,,,47.0,Ethan Hull,*,LB,6-0,225.0,R-Jr.,"Crestwood, KY",Trinity,Jacksonville,Accounting/Finance,,ethanfhull,ethanfhull,,
57,,,48.0,Matt Clements,,P,5-11,171.0,R-Sr.,"Melbourne, Australia",Scotch College,Jacksonville,Finance,,clemboeey,clemboeey,,
58,,,48.0,Hale Prior,,LB,6-0,224.0,Fr.,"Brush Prairie, WA",Hockinson,,,,hale_prior,hale_prior,,
59,,,49.0,Finau Fine,,DE,6-5,259.0,R-So.,"Kissimmee, FL",Gateway,,Digital Arts,,f1nau,finaufine,,
60,,,49.0,Brady Rhodes,,TE,6-6,225.0,R-So.,"Ackworth, GA",North Paulding,,Computer Science,,the_bradyrhodes,Brady_Rhodes,,
61,,,50.0,Andrew Thompson,,DE,6-0,210.0,So.,"Apopka, FL",Orangewood Christian,,Health Sciences,,andrewt407,_Andrew407,,
62,,,51.0,Dustin Viñas,,LB,5-11,230.0,So.,"Miami, FL",Columbus,,Business Management,,dustinvinas51,51vinas,,
63,,,52.0,Emir Kendrick,,LB,6-0,202.0,Fr.,"Leonardtown, MD",St. Mary's Ryken,,,,,,,
64,,,53.0,Michael Wojciechowski,,LS,5-7,165.0,R-Jr.,"Oak Harbor, OH",Oak Harbor,,Finance/Economics,michael.wojciechowski.756,m_wojo43,wojo_mike,,
65,,,54.0,Nicholas Lerew,,LB,5-11,220.0,Gr.,"Dillsburg, PA",Northern York,Gannon/SMU,,,,,,
66,,,55.0,Edward Hernandez,,DT,6-1,290.0,R-Jr.,"Austell, GA",McEachern,,Marketing,,h.ernandezz,InfamousEdward,,
67,,,56.0,Thomas Connors,,OL,6-4,305.0,Gr.,"Orlando, FL",Bishop Moore,,Sport Business,thomas.connors.1614,conn_vict,_tquan,,
68,,,56.0,Mason Thomason,,LB,5-10,208.0,Fr.,"Palm Beach Gardens, FL",The Benjamin School,,Political Science,,Masonthomason_,ThomasonMason,,
69,,,57.0,Christian Jolley,,LB,6-3,211.0,R-Jr.,"Spring Hill, TN",Summit,,Marketing,christian.jolley.50,cjolleyy,cjolleyy,,
70,,,59.0,Brysson Stouffer,,DE,6-1,210.0,Fr.,"Miami, FL",Columbus,,,,,,,
71,,,60.0,Kyle Lofye,,OL,6-4,323.0,Fr.,"Frisco, TX",Lone Star,,,,,,,
72,,,61.0,Chad Staley,,OL,6-2,250.0,Fr.,"Tampa, FL",Berkeley Prep,,,,,,,
73,,,62.0,James Rhodes,,OL,6-1,292.0,R-So.,"Orange Park, FL",Orange Park,,Business Systems Analytics,,rhoscholar,JamesRh10031249,,
74,,,63.0,Rowan Collins,,OL,6-1,290.0,Fr.,"Jacksonville, FL",Christ's Church Academy,,Business and Family Enterprise,,Rowanc_53,Rowancollins10,,
75,,,64.0,Zachary Thomas,,OL,6-3,312.0,So.,"Grand Ridge, FL",Sneads,,Business Administration,,_zaaccchhhh__,Zach_thomas55,,
76,,,65.0,Steven Godwin,,OL,6-1,276.0,R-Jr.,"Neptune Beach, FL",Providence School,,Health Science,,godwinsteven22,godwinsteven22,,
77,,,66.0,Dawson Harrington,,OL,6-7,294.0,So.,"Olathe, KS",Olathe South,,Computer Science,,dawson.harrington,d_harrington73,,
