,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Image,Title
0,,0.0,Terrell Prince,SS,5-11,212.0,Sr.,"College Park, Ga. / Peddie (N.J.)",,
1,,1.0,Ayir Asante,WR,6-0,174.0,Sr.,"Franklin Township, N.J. / St. Peter's Prep",,
2,,2.0,Terrence Spence,CB,6-2,193.0,Jr.,"Ringwood, N.J. / St. Joseph Regional",,
3,,3.0,Spencer Gilliam,WR,5-11,181.0,Sr.,"San Antonio, Texas / Ronald Reagan",,
4,,4.0,Devin Haskins,CB,6-3,209.0,Sr.,"Celina, Texas / Prosper",,
5,,5.0,Liam Anderson,LB,6-3,230.0,Sr.,"Flanders, N.J. / Mount Olive",,
6,,6.0,Jared Kreimer,SS,6-1,195.0,Sr.,"Cincinnati, Ohio / St. Xavier",,
7,,7.0,John Smith,CB,6-0,191.0,Sr.,"Lake Worth, Fla. / Park Vista Community",,
8,,8.0,Jordan Forrest,RB,6-1,221.0,Sr.,"New Rochelle, N.Y. / New Rochelle",,
9,,9.0,Matthew Sluka,QB,6-3,215.0,Jr.,"Locust Valley, N.Y. / Kellenberg Memorial",,
10,,10.0,Ryan Ruane,SS,6-2,208.0,So.,"Fair Haven, N.J. / Rumson-Fair Haven Regional",,
11,,11.0,Byron Shipman,WR,6-3,219.0,Jr.,"Plainfield, N.J. / St. Peter's Prep",,
12,,12.0,Mark Forcucci,QB,6-0,196.0,Fr.,"Winfield, Ill. / Wheaton North",,
13,,13.0,Max Mosey,QB,6-1,200.0,Fr.,"Harrisburg, Pa. / Central Dauphin",,
14,,14.0,Griffin Wiegel,QB,6-5,226.0,Sr.,"Pittsford, N.Y. / McQuaid Jesuit",,
15,,15.0,Jake Jarmolowich,FS,6-2,180.0,So.,"Summit, N.J. / Delbarton",,
16,,16.0,Joe Pesansky,QB,6-4,217.0,So.,"Tampa, Fla. / Jesuit",,
17,,18.0,Cristos Argys,FS,6-2,202.0,Sr.,"East Greenwich, R.I. / Moses Brown",,
18,,19.0,Justin Shorter,WR,5-11,174.0,So.,"Swedesboro, N.J. / Blair Academy",,
19,,20.0,Tyler Purdy,RB,5-11,205.0,Sr.,"Chesterfield, Mo. / Mary Institute & St. Louis Country Day",,
20,,21.0,Jonathan Young,SS,6-2,192.0,Sr.,"Alexandria, Va. / Hayfield Secondary",,
21,,22.0,Dante Bolden,LB,6-2,231.0,Jr.,"Springfield, Mass. / Springfield Central",,
22,,23.0,Jordan Fuller,RB,6-0,229.0,So.,"North Hampton, N.H. / Governor's Academy (Mass.)",,
23,,24.0,Peter Oliver,RB,6-0,222.0,Sr.,"Auburn, Mass. / St. John's",,
24,,26.0,Walter Reynolds,FS,6-0,197.0,Sr.,"Detroit, Mich. / University of Detroit Jesuit",,
25,,27.0,Jacob Dobbs,LB,6-0,237.0,Sr.,"Macomb, Mich. / De La Salle Collegiate",,
26,,28.0,Kamryn Molton,CB,5-11,182.0,Sr.,"Avon, Ind. / Avon",,
27,,29.0,Curtis Harris-Lopez,FS,6-0,204.0,So.,"Nashua, N.H. / Nashua North",,
28,,30.0,Malik Scott,CB,6-3,172.0,Jr.,"Bel Air, Md. / John Carroll",,
29,,31.0,Sam Slade,RB,5-10,187.0,Fr.,"North Bergen, N.J. / Saint Peter's Prep",,
30,,32.0,Dorian Rawls,CB,5-10,161.0,So.,"West Orange, N.J. / West Orange",,
31,,33.0,Will Ezema,RB,6-0,198.0,Jr.,"Ringoes, N.J. / Hunterdon Central",,
32,,34.0,Hugh Kelly,SS,6-3,193.0,Sr.,"Wilmette, Ill. / Loyola Academy",,
33,,35.0,Derek Ng,PK/P,5-10,187.0,Sr.,"Las Vegas, Nev. / Bishop Gorman",,
34,,36.0,Lemuel Marucot,FS,6-1,206.0,Sr.,"Cupertino, Calif. / Archbishop Mitty",,
35,,37.0,Tommy Bestpitch,CB,5-11,187.0,Fr.,"Buffalo, N.Y. / St. Francis",,
36,,38.0,Frankie Monte,LB,6-0,228.0,So.,"Ramsey, N.J. / St. Joseph Regional",,
37,,39.0,Matthew Kane,LB,6-2,222.0,Jr.,"Windermere, Fla. / Windermere Prep",,
38,,40.0,Nathan Schillinger,TE,6-4,240.0,Fr.,"Avon Lake, Ohio / Avon Lake",,
39,,41.0,Brandon Cox,SS,6-0,194.0,So.,"Philadelphia, Pa. / The Episcopal Academy",,
40,,42.0,George Bousum,TE,6-3,230.0,Fr.,"Downingtown, Pa. / Downingtown East",,
41,,43.0,Sam Boyer,LB,6-1,210.0,Fr.,"Williamsburg, Va. / Lafayette HS",,
42,,43.0,Anthony Leo,LB,6-1,211.0,Sr.,"Moosup, Conn. / Pomfret",,
43,,44.0,Phoenix Dickson,FB,6-1,240.0,Jr.,"Linden, Mich. / Lapeer",,
44,,44.0,Liam Doran,LB,6-1,229.0,Sr.,"Framingham, Mass. / St. John's",,
45,,45.0,Hunter Burns,SS,6-1,211.0,Sr.,"Milford, Conn. / Choate Rosemary Hall",,
46,,46.0,Brian Vaganek,DL,6-4,250.0,Jr.,"Narragansett, R.I. / Narragansett",,
47,,47.0,Matt Duchemin,CB,6-0,193.0,Jr.,"Haverhill, Mass. / St. John's Prep",,
48,,48.0,Joe Rivers,RB,6-0,213.0,Jr.,"Wakefield, Mass. / Bishop Fenwick",,
49,,49.0,John Owens,TE,6-3,220.0,Fr.,"Tampa, Fla. / HB Plant",,
50,,49.0,J.P. Raiger,FS,6-2,192.0,Jr.,"Naples, Fla. / St. John Neumann Catholic",,
51,,50.0,Adam Guillemette,LS,6-1,220.0,Sr.,"Cambridge, Ontario / Loomis Chaffee (Conn.)",,
52,,51.0,Jack Norris,PK/P,6-0,181.0,So.,"Brentwood, Tenn. / Franklin Road Academy",,
53,,52.0,Patrick Blowe,DL,6-2,298.0,Jr.,"Cranford, N.J. / Cranford",,
54,,53.0,Luis Palenzuela,PK,6-0,201.0,Fr.,"Miami, Fla. / Christopher Columbus",,
55,,55.0,Jake Reichwein,DL,6-3,255.0,Sr.,"Doylestown, Pa. / Central Bucks West",,
56,,56.0,Christo Kelly,OL,6-4,295.0,Jr.,"Wilmette, Ill. / Loyola Academy",,
57,,57.0,Nick Olsofka,OL,6-4,294.0,Sr.,"Louisville, Ky. / Christian Academy of Louisville",,
58,,58.0,Jude Rorke,SS,5-11,194.0,Jr.,"Williamstown, Mass. / Phillips Exeter Academy",,
59,,59.0,Damon Donalds,DL,6-2,293.0,So.,"Naples, Fla. / Community School of Naples",,
60,,60.0,Jack McCauley,OL,6-3,286.0,Sr.,"Westfield, N.J. / Westfield Senior",,
61,,61.0,Cam Nolan,OL,6-4,307.0,Fr.,"Oxford, Mass. / Saint John's",,
62,,62.0,Kevin Gillis,DL,6-2,275.0,So.,"Topsfield, Mass. / Governor's Academy",,
63,,64.0,Eric Schon,OL,6-3,311.0,Jr.,"Barrie, Ontario / St. Francis (N.Y.)",,
64,,65.0,Joe Metzger,OL,6-6,298.0,Fr.,"Franklinville, N.J. / Delsea Regional",,
65,,66.0,Noah Eldridge,OL,6-5,269.0,Fr.,"Norwell, Mass. / Xaverian Brothers",,
66,,67.0,Ben Blessing,OL,6-8,306.0,Sr.,"Havre De Grace, Md. / John Carroll",,
67,,68.0,James Schnell,DL,6-0,269.0,Sr.,"Pittsford, N.Y. / McQuaid Jesuit",,
68,,69.0,C.J. Hanson,OL,6-6,305.0,Sr.,"Wyckoff, N.J. / DePaul Catholic",,
69,,70.0,Bryan Pacific,OL,6-4,273.0,Jr.,"Winchester, Mass. / Dexter Southfield",,
70,,71.0,Luke Newman,OL,6-5,301.0,Jr.,"Bloomfield Hills, Mich. / Brother Rice",,
71,,73.0,Declan McCauley,OL,6-4,290.0,Jr.,"Westfield, N.J. / Westfield Senior",,
72,,74.0,Eddy Cachon,OL,6-3,279.0,So.,"Miami, Fla. / Gulliver Prep",,
73,,76.0,Pat McMurtrie,OL,6-6,294.0,Sr.,"Verona, N.J. / St. Joseph Regional",,
74,,77.0,Grady Smith,OL,6-4,296.0,Sr.,"Mendham, N.J. / St. Peter's Prep",,
75,,78.0,Dalton Daddona,OL,6-2,295.0,Sr.,"Allentown, Pa. / Bethlehem Catholic",,
76,,79.0,Cam McNair,OL,6-5,320.0,So.,"Toms River, N.J. / Donovan Catholic",,
77,,80.0,Jalen Coker,WR,6-3,207.0,Jr.,"Sterling, Va. / Potomac Falls",,
78,,81.0,Blake Youngblood,WR,6-0,188.0,Fr.,"Coppell, Texas / Parish Episcopal",,
79,,82.0,Bryce Barron,WR,6-3,194.0,Jr.,"Burlington, N.J. / Northern Burlington",,
80,,83.0,Jack Coulson,WR,6-2,205.0,Sr.,"Boca Raton, Fla. / Olympic Heights",,
81,,84.0,Dominik Thomas,WR,6-1,209.0,Sr.,"Irving, N.Y. / St. Francis",,
