,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,High School,Twitter,Instagram,Image,Name,Title
0,,1.0,Eddie Morales III,Gr.,Defensive Back,5-9,185.0,"Farmingdale, NJ",Howell,moraleseddie3,eddie_morales3,,,
1,,2.0,Tyrese Wright,Sr.,Defensive Back,6-0,215.0,"Bridgeport, CT",Capital Prep Harbor School,ReeseTwoReal,_reese2.0,,,
2,,4.0,Remi Johnson,So.,Linebacker,6-2,230.0,"Springfield, VA",Lake Braddock Secondary,RemiJ2334,remi2334,,,
3,,5.0,Da'Quan Grimes,Gr.,Linebacker,5-11,225.0,"Gaithersburg, MD",Damascus,DaquanGrimes5,daquangrimes5,,,
4,,6.0,Juwon Farri,R-Sr.,Running Back,5-10,205.0,"Germantown, MD",Northwest,jyozaki23,jwonn__,,,
5,,7.0,Thomas Joe-Kamara,Jr.,Defensive Back,6-1,210.0,"Dayton, NJ",South Brunswick / Temple,ThomasJoeKamar1,_t.j7__,,,
6,,8.0,Darrion Carrington,Gr.,Wide Receiver,6-2,205.0,"Lakewood, NJ",Toms River North / Yale,DCarrington01,rf.dcarr,,,
7,,9.0,Ugo Obasi,Gr.,Wide Receiver,6-1,200.0,"Baltimore, MD",Milford Mill Academy / Virginia,Ugoobas1,ugoobas1,,,
8,,10.0,Frankie Savino,So.,Quarterback,6-1,200.0,"Emerson, NJ",Emerson,frankie7savino,frankie7savino,,,
9,,11.0,Tony Muskett,Jr.,Quarterback,6-2,210.0,"Springfield, VA",West Springfield,TonyMuskett,tonymuskett11,,,
10,,12.0,Enzo Arjona,Fr.,Quarterback,6-0,195.0,"Upper Saddle River, NJ",Northern Highlands,Enzoqb12,enzo_qb13,,,
11,,13.0,Jason Antwi,5th,Defensive Back,6-1,210.0,"Irvington, NJ",Irvington,Jaayboogie3,jaay.boogie,,,
12,,13.0,Johnny Gilchrist,So.,Quarterback,5-11,185.0,"Moosic, PA",Riverside,jgilchrist3,jgilchristiii,,,
13,,14.0,Alex Bryant,Jr.,Wide Receiver,5-11,175.0,"Ocean, NJ",Ocean Township,alexbryant4_,alexbrynt,,,
14,,14.0,Christian Solino,Fr.,Quarterback,6-3,185.0,"Bloomsbury, NJ",Saint Joseph,csolino_13,christian_solino,,,
15,,15.0,Dymere Miller,Jr.,Wide Receiver,6-0,180.0,"Coatesville, PA",Coatsville / Salisbury School,miller_dymere,dymere.miller,,,
16,,16.0,Jaylen Dotson,So.,Defensive Back,5-10,180.0,"Middletown, MD",Good Counsel,jaylendotson_,jaylenldotson,,,
17,,17.0,Mike Reid,Jr.,Defensive Back,6-2,205.0,"Owings Mills, MD",Owings Mills,MSR4six,m1kereid7,,,
18,,18.0,Assanti Kearney,Sr.,Wide Receiver,6-2,220.0,"Reisterstown, MD",Franklin,AssantiiKearney,assantiikearney,,,
19,,19.0,John Manfre Jr.,Sr.,Wide Receiver,6-3,195.0,"Freehold, NJ",Freehold Twp,JohnnyManfre,johnnymanfre,,,
20,,20.0,Jaden Shirden,So.,Running Back,5-9,185.0,"West Haven, CT",St. Joseph's / Cheshire Academy,shirden_20,jrock__20,,,
21,,21.0,Davis Smith,Sr.,Defensive Back,6-1,190.0,"Haddonfield, NJ",Haddonfield Memorial,dm_smith21,_1of21,,,
22,,22.0,Dante Kiett,Sr.,Defensive Back,6-2,190.0,"Pennsauken, NJ",Eastern Regional,dantkiett,_danttt,,,
23,,23.0,Jyair Thomas,Sr.,Defensive Back,6-0,210.0,"Owings Mills, MD",Boys Latin,jyairt19,jyairthomas,,,
24,,24.0,John England,So.,Defensive Back,6-1,175.0,"Columbia, MD",Hammond,Johnnn3x,Johnnn3x,,,
25,,24.0,Jaylen Tucker,So.,Running Back,5-10,210.0,"Jersey City, NJ",Lincoln,,kiing.tuck,,,
26,,25.0,Jude Umunakwe,Jr.,Defensive Back,6-1,180.0,"Bronx, NY",Capitol Prep Harbor,JudeUmunakwe,judeumunakwe,,,
27,,26.0,Owen Wright,Gr.,Running Back,5-11,225.0,"Bethesda, MD",Georgetown Prep / William & Mary,OwenWright_23,owenwright25,,,
28,,27.0,Justin Nyers,So.,Longsnapper,6-0,210.0,"Manalapan, NJ",Manalapan,justinnyers19,justinnyers19,,,
29,,28.0,Jamir Barnes,Jr.,Running Back,5-10,200.0,"Wyncote, PA",Cheltenham,Jbarnes8_,jamirrbarnes,,,
30,,29.0,Austin Castorina,Jr.,Running Back,5-9,205.0,"Sparta, NJ",Sparta,aucaaustin,austcas_6,,,
31,,30.0,Makhi Green,Fr.,Running Back,5-9,170.0,"West Orange, NJ",West Orange,MakhiGreen_,m2khi,,,
32,,31.0,Phil Rawlings,Fr.,Defensive Back,6-1,200.0,"Upper Marlboro, MD",St. John's Catholic High School,4Side_,4side_,,,
33,,32.0,Owen Bill,Fr.,Wide Receiver,6-1,205.0,"Flemington, NJ",Hunterdon Central,owenbill3,owenbilll,,,
34,,33.0,Justin Bennin,So.,Defensive Back,6-2,210.0,"Gainesville, VA",Battlefield,j_bennin,justin.bennin,,,
35,,34.0,Isaiah Bishop,Sr.,Linebacker,6-2,240.0,"Boyds, MD",Northwest,isaiahkayvonn,isaiah_kayvonn,,,
36,,35.0,Sam Korpoi,Fr.,Linebacker,6-1,200.0,"Laurel, MD",Paint Branch,KKorpoi,,,,
37,,36.0,Dre Tucker,Sr.,Wide Receiver,6-1,180.0,"Cinnaminson, NJ",Camden Catholic,_atucker12,,,,
38,,37.0,Kadeem McKnight,So.,Defensive Back,6-0,190.0,"Hartford, CT",Capital Prep,kadeemmcknight1,5forever.deem,,,
39,,38.0,Jabril Shakur,Sr.,Defensive Back,5-11,180.0,"Atlantic City, NJ",Pleasantville,brillzyy_,brillzyy,,,
40,,39.0,Jordan Gray,Sr.,Wide Receiver,6-1,200.0,"Maplewood, NJ",Abraham Clark / Lincoln,,_flashy12,,,
41,,40.0,Hayden Hall,Fr.,Punter,6-4,170.0,"Darien, CT",Darien / IMG Academy,HayHall2022,,,,
42,,40.0,Damir McCrary,Fr.,Linebacker,6-0,215.0,"Camden, NJ",Woodrow Wilson,MccraryDamir,b.b.mir,,,
43,,41.0,Eric Bernstein,Jr.,Kicker,6-2,215.0,"East Meadow, NY",East Meadow / Towson / Rutgers,EricBernstein48,eric_bernstein,,,
44,,41.0,Jake Frye,Fr.,Linebacker,6-1,230.0,"Aldie, VA",St. Paul VI Catholic,jakeefrye,jakeefrye,,,
45,,42.0,Connor Farrell,Fr.,Defensive Line,6-2,230.0,"Toms River, NJ",Donovan Catholic,ConnorFarr44,connor_farrell_,,,
46,,43.0,Matthew Griffin,Gr.,Linebacker,6-1,215.0,"Falls Church, VA",J.E.B. Stuart,MattyGriffin3,matthewlgriffin,,,
47,,44.0,Ben Joseph,Sr.,Linebacker,6-1,225.0,"Stamford, CT",St. Luke's School,_Bjoseph15,_benjoe44,,,
48,,45.0,Charlie Sasso,Fr.,Linebacker,6-0,225.0,"Wall, NJ",Wall,CharlieSasso,charlie.sasso,,,
49,,46.0,Cory Englehardt,Sr.,Tight End,6-4,230.0,"Brick, NJ",Brick Township,englehardt_cory,coryenglehardt,,,
50,,47.0,Daniel Gutin,So.,Linebacker,6-3,220.0,"Park Ridge, NJ",Park Ridge / Southeastern University,DanielGutin10,danielgutin10,,,
51,,48.0,Vincenzo Rea,So.,Kicker,6-4,215.0,"Manalapan, NJ",Manalapan,CenzoRea8,viincennzo,,,
52,,49.0,Ryan Kost,Gr.,Punter,6-2,220.0,"Newton, CT",Newtown,ryankost5,ryankost,,,
53,,50.0,Caleb Dennis,Jr.,Linebacker,6-1,230.0,"Olney, MD",Our Lady of Good Counsel,calebden5,calebden5,,,
54,,51.0,Tyler Delgado,Sr.,Linebacker,6-2,210.0,"Westfield, MA",Loomis Chafee,tylerdelgado17,tylerdel7,,,
55,,52.0,Dale Sieczkowski,Sr.,Linebacker,6-2,200.0,"Manalapan, NJ",Manalapan,,dalesieczkowski13,,,
56,,53.0,Kevin Shriner,Fr.,Offensive Line,6-2,290.0,"Cranford, NJ",Cranford,BooShriner,Kevinshriner_,,,
57,,54.0,Dalton Short,Jr.,Linebacker,6-2,210.0,"Medford Lakes, NJ",Shawnee,dshort4689,daltonshort5,,,
58,,55.0,Ryan Moran,Sr.,Linebacker,5-10,215.0,"Ocean, NJ",Ocean Township,Ryanmoran24Ry,ryan.moran1,,,
59,,56.0,Andrew Vera,Jr.,Linebacker,6-1,210.0,"Matawan, NJ",Old Bridge,Andrewvera6,andrew__vera,,,
60,,57.0,Bryce Rooks,Fr.,Defensive Line,6-1,280.0,"Warren, NJ",St. Peter's Prep,RooksBryce59,_brycerooks,,,
61,,58.0,Sheku Tonkara,Jr.,Defensive Line,6-2,265.0,"Woodbridge, VA",Woodbridge,D1Shek,d1shek,,,
62,,59.0,Adrian Hawkins,So.,Offensive Line,6-6,295.0,"Baltimore, MD",DeMatha Catholic,,adrianhawkinsjr,,,
63,,60.0,Anthony Buscemi,Sr.,Kicker,6-2,205.0,"Smyrna, DE",Smyrna,,abuscemii,,,
64,,60.0,David Dutra,So.,Offensive Line,6-4,275.0,"Vineland, NJ",Vineland,ddutra77,,,,
65,,61.0,Pat Hayden,Sr.,Defensive Line,6-2,265.0,"Deptford, NJ",Gateway Regional,PMHayden5,p.hayden5,,,
66,,62.0,JT Cornelius,Jr.,Offensive Line,6-6,285.0,"Toms River, NJ",Southern Regional,,jt_cornelius,,,
67,,63.0,Dan Doyle,Jr.,Offensive Line,6-5,300.0,"Staten Island, NY",St. Joseph's By the Sea,DanDoyle6404,dan.doyle63,,,
68,,64.0,Austin Fischer,Sr.,Offensive Line,6-3,300.0,"Holmdel, NJ",Holmdel,austin_fischer,Austinfischer8,,,
69,,64.0,Joe Pronchick,So.,Offensive Line,6-2,285.0,"Tabernacle, NJ",Seneca,joepronchick,joe.pronchick,,,
70,,65.0,Justin Tucker,Fr.,Offensive Line,6-5,245.0,"Toms River, NJ",Toms River East / Ocean CC,JTucker1017,justinntuckerr,,,
71,,66.0,Kent Vines,5th,Long Snapper,6-1,270.0,"Durham, NC",Jordan,kentv12,kentvines66_,,,
72,,67.0,Kevin Pineda,So.,Offensive Line,6-4,295.0,"Blue Bell, PA",Wissahickon,KevinPineda217,kevin._.pineda,,,
73,,68.0,Ed Gatling,Sr.,Offensive Line,6-3,315.0,"Temple Hills, MD",St. Francis Academy,bigeze1,_.ed68,,,
74,,69.0,Justin Szuba,Gr.,Offensive Line,6-8,310.0,"Brick, NJ",Brick Memorial,szubason1,szubason,,,
75,,70.0,Greyson Brockriede,Fr.,Offensive Line,6-3,300.0,"Rumson, NJ",The Hun School of Princeton,Greyson1232,greybrock,,,
76,,71.0,Kyrik Mason,So.,Offensive Line,6-5,295.0,"Columbia, MD",St. John's Catholic,KyrikMason,yeahh.reek,,,
77,,72.0,Shalik Hubbard,Fr.,Offensive Line,6-4,295.0,"Hackensack, NJ",Hackensack,HubbardShalik,shalikhubbard_,,,
78,,72.0,Korede Sogbesan,Fr.,Defensive Line,6-3,230.0,"Laurel, MD",Atholton,kingk223,,,,
79,,73.0,Oliver Jervis,Sr.,Offensive Line,6-5,300.0,"Sellersville, PA",Pennridge,Jervis_Oliver17,ollytrolly227,,,
80,,74.0,Tyler Williams,5th,Offensive Line,6-3,300.0,"Pine Bush, NY",Don Bosco,twilliams_74,twill_74,,,
81,,75.0,Stephen Reutlinger Jr.,Fr.,Defensive Line,6-2,255.0,"Perkasie, PA",Pennridge,ReutlingerJr,slreutlinger,,,
82,,75.0,James Voss,Fr.,Offensive Line,6-5,310.0,"Exton, PA",Downingtown East / Fork Union,James_Voss75,james_voss75,,,
83,,76.0,Greg Anderson,Sr.,Offensive Line,6-5,320.0,"Carlstadt, NJ",Becton Regional,Greg_Anderson76,grizzley_greg_,,,
84,,77.0,Jordan Hall,Sr.,Offensive Line,6-4,310.0,"Brooklyn, NY",James Madison HS,J_Hall77,,,,
85,,78.0,Will Argo,Sr.,Offensive Line,6-4,325.0,"Georgetown, DE",Sussex Technical,WillArgo12,wea.78,,,
86,,79.0,TJ Lewis,So.,Offensive Line,6-1,285.0,"Edgewood, MD",McDonogh School,tjlewis14,tjl3wis,,,
87,,80.0,Will Silverman,So.,Wide Receiver,6-1,190.0,"Doylestown, PA",Central Bucks East,silverw24,,,,
88,,81.0,Ashanti Caviness Jr.,So.,Tight End,6-6,230.0,"Bogota, NJ",Bogota,AshantiCaviness,yvng.ac_,,,
89,,82.0,Chris Kessler,So.,Wide Reciever,6-4,205.0,"Oceanport, NJ",Shore Regional,chriskessler22,chriskessler__,,,
90,,83.0,TJ Speight,So.,Wide Reciever,5-11,175.0,"Forte Meade, MD",Meade,,,,,
91,,84.0,Patrick Murphy,Fr.,Wide Receiver,6-0,200.0,"New Windsor, NY",Cornwall Central,pat_murphy04,patrickmurphy4_,,,
92,,85.0,Gavin Nelson,Fr.,Wide Receiver,6-0,175.0,"Reisterstown, MD",Franklin,,,,,
93,,86.0,Jack Neri,Jr.,Tight End,6-3,240.0,"Doylestown, PA",Central Bucks West,jackneri12,neri_jack,,,
94,,87.0,Sean Fleming,Sr.,Tight End,6-4,225.0,"Dobbs Ferry, NY",Iona Prep,sflem6,Sean.fleming6,,,
95,,88.0,Justin Marcus,Gr.,Tight End,6-5,235.0,"Morganville, NJ",Marlboro,justin__marcus,justin__marcus,,,
96,,89.0,Korey McLeod,Sr.,Tight End,6-3,210.0,"Frederick, MD",Avalon School,_5trilll,kj.cloudy,,,
97,,89.0,Miles Mitchell,Fr.,Defensive Line,6-4,220.0,"New Milford, NJ",Teaneck / Lackawanna College,Mitchell18Miles,miles_mitchell18,,,
98,,90.0,Brendan Bigos,Fr.,Defensive Line,6-4,250.0,"Red Bank, NJ",Middletown South,BrendanBigs66,brendanbigs90,,,
99,,91.0,Matt Clark,Jr.,Defensive Line,6-3,295.0,"Dudley, MA",Shepherd Hill Regional,,m_clark95,,,
100,,92.0,Chris King,Fr.,Defensive Line,6-3,260.0,"Queens, NY",Paramus Catholic / Buffalo,ChrisKing0329,itz.chrisking,,,
101,,93.0,Phil Long,So.,Defensive Line,6-2,270.0,"Chalfont, PA",Pennridge,phillong416,phil.long_,,,
102,,94.0,Chance Smith,Sr.,Defensive Line,6-3,290.0,"Hawley, PA",Wallenpaupack Area,chance_smith71,chance_smith71,,,
103,,95.0,Justin O'Bannon,Jr.,Defensive Line,6-5,245.0,"Bel Air, MD",Bel Air,justinobannon75,yeahh_datsjusty,,,
104,,96.0,Dominick Spano,5th,Defensive Line,6-3,285.0,"Freehold, NJ",St. John Vianney / Stonehill,,domspano54,,,
105,,97.0,Daviyon Johnson,Sr.,Defensive Line,6-2,310.0,"Edgewood, MD",Edgewood,DmvDavo,,,,
106,,99.0,Nick Shoemaker,Gr.,Defensive Line,6-2,280.0,"Dunmore, PA",Dunmore,nickshoe99,nickshoe99,,,
0,,,,,,,,,,,,,Kevin Callahan,Head Coach
1,,,,,,,,,,,,,Andy Bobik,Associate Head Coach/Defensive Coordinator
2,,,,,,,,,,,,,Jeff Gallo,Offensive Coordinator/Tight Ends Coach
3,,,,,,,,,,,,,Sam Dorsett,Running Backs Coach/Special Teams Coordinator
4,,,,,,,,,,,,,Brian Gabriel,Run Game Coordinator/Offensive Line Coach
