,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
0,,0.0,Murvin Kenion III,DB,5-11,190.0,Jr.,"Vallejo, Calif. / St. Patrick St. Vincent",City College of San Francisco,,,
1,,0.0,Terez Traynor,WR,6-3,195.0,Jr.,"Louisville, Ky. / Doss",Western Kentucky,,,
2,,1.0,Ricardo Chavez,K/P,6-2,195.0,Sr.,"Los Angeles, Calif. / Valley View",Riverside City College,,,
3,,1.0,Jermaine Jackson,WR,5-7,165.0,R-Sr.,"Oakland, Calif. / San Leandro",College of San Mateo,,,
4,,2.0,Marcus Harris,DB,5-11,185.0,Jr.,"Portland, Ore. / Grant",Oregon State,,,
5,,2.0,Jack Layne,QB,6-1,190.0,R-Fr.,"Lake Oswego, Ore. / Lake Oswego",,,,
6,,3.0,Nick Romano,RB,5-10,200.0,Sr.,"Meridian, Idaho / Rocky Mountain",,,,
7,,3.0,Cam Stephens,DB,5-11,160.0,R-Jr.,"San Bernardino, Calif. / Cajon HS",Victor Valley College,,,
8,,4.0,Isiah King,LB,6-3,210.0,R-So.,"San Diego, Calif. / Montgomery",,,,
9,,4.0,Gevani McCoy,QB,6-2,185.0,R-So.,"Baldwin Hills, Calif. / Lawndale",,,,
10,,5.0,Jahkari Larmond,DL,6-3,330.0,Jr.,"Rochester, N.Y. / Greece Athena",Lincoln University (Mo.),,,
11,,5.0,Anthony Woods,RB,5-10,175.0,So.,"Palmdale, Calif. / Palmdale",,,,
12,,6.0,Jaxton Eck,LB,6-0,215.0,Fr.,"Brookings, S.D. / Brookings HS",,,,
13,,7.0,Andrew Marshall,DB,6-1,165.0,Fr.,"Eastvale, Calif. / Eleanor Roosevelt HS",,,,
14,,8.0,Ormanie Arnold,DB,5-10,175.0,R-Fr.,"Long Beach, Calif. / Dominguez",,,,
15,,8.0,Deshaun Buchanan,RB,5-11,190.0,Fr.,"Chandler, Ariz. / Basha HS",,,,
16,,8.0,Jack Wagner,QB,6-4,180.0,Fr.,"Tualatin, Ore. / Tualatin HS",,,,
17,,10.0,Sean McCormick,DB,5-9,185.0,Sr.,"Fallon, Nev. / Churchill County",,,,
18,,11.0,Jalen Grable,WR,6-3,195.0,R-So.,"Portland, Ore. / Westview",,,,
19,,11.0,Zach Johnson,LB,6-3,210.0,Fr.,"Coeur d'Alene, Idaho / Lake City HS",,,,
20,,12.0,Drew Faulkner,DB,5-10,175.0,Fr.,"Los Angeles, Calif. / Western HS",,,,
21,,13.0,Paul Moala,LB,6-0,220.0,R-Sr.,"Mishawaka, Ind. / Penn",Notre Dame,,,
