,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Previous School,Image,Name,Title
0,,0.0,D'Ago Hunter,RB,5-6,160.0,R-Sr.,"Culpeper, Va. / Eastern View",,,,
1,,2.0,Rishon Holmes,QB,6-1,205.0,Fr.,"Baltimore, Md. / Milford Mill Academy",,,,
2,,3.0,Tramar Reece,DL,6-4,260.0,Gr.,"Clearwater, Fla. / Clearwater H.S.",Indiana University,,,
3,,4.0,Tyrrell Pigrome,QB,5-10,200.0,R-Sr.,"Birmingham, Ala. / Clay-Chalkville H.S.",University of Mississippi,,,
4,,4.0,Daniel Raymond,LB,6-0,200.0,R-So.,"Fort Washington, Md. / Friendly H.S.",,,,
5,,6.0,Jamal Gay,LB,6-1,200.0,Gr.,"Beltsville, Md. / St. John's College H.S.",,,,
6,,7.0,Matthew Akuchie,WR,6-2,200.0,R-Jr.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",Florida Atlantic University,,,
7,,7.0,Frank Stettner,DB,5-10,185.0,R-Sr.,"Phillipsburg, N.J. / Phillipsburg H.S.",,,,
8,,8.0,Joachim Bangda,RB,5-10,230.0,Jr.,"Washington, D.C. / St. Frances Academy",Kent State University,,,
9,,8.0,Jesus Gibbs,DL,6-4,275.0,R-Sr.,"Dumfries, Va. / Potomac H.S.",University of South Carolina,,,
10,,9.0,Vinnie Shaffer,DL,5-11,305.0,Gr.,"Middle River, Md. / Archbishop Curley H.S.",Saint Anselm College,,,
11,,9.0,Darian Street,WR,6-2,190.0,Gr.,"Bethlehem, Pa. / Liberty H.S.",University of Pittsburgh,,,
12,,10.0,Zack Jackson,QB,6-0,195.0,R-Fr.,"Aldie, Va. / John Champe H.S.",University of Maryland,,,
13,,10.0,Robert Javier,DB,6-1,195.0,R-Sr.,"Bronx, N.Y. / Cardinal Hayes H.S.",,,,
14,,11.0,Oly Okombi,DL,6-1,255.0,R-Jr.,"Silver Spring, Md. / Blair H.S.",Kent State University,,,
15,,11.0,Daniel Thompson IV,WR,6-3,205.0,Sr.,"Ashburn, Va. / Stone Bridge H.S.",,,,
16,,12.0,Sam Reynolds,WR,5-8,185.0,R-Fr.,"Alabaster, Ala. / Thompson H.S.",University of South Carolina,,,
17,,13.0,Da'Kendall James,WR,6-1,190.0,R-Jr.,"Chesapeake, Va. / Portsmouth Christian",Norfolk State University,,,
18,,13.0,DJ Washington,LB,6-2,215.0,Fr.,"Woodbridge, Va. / Life Christian Academy",,,,
19,,14.0,Lukkas Londono,WR,5-10,185.0,R-Fr.,"Fairview, N.J. / Cliffside Park H.S.",,,,
20,,15.0,Nathan Kent,QB,6-2,200.0,R-So.,"Eldersburg, Md. / Liberty H.S.",,,,
21,,16.0,Scott Smith III,QB,6-4,210.0,R-Fr.,"Brooklandville, Md. / St. Paul's School",,,,
22,,17.0,Tyler Johnston III,QB,6-2,205.0,Gr.,"Spanish Fort, Ala. / Spanish Fort",UAB,,,
23,,17.0,Makye Smith,DL,6-1,240.0,Gr.,"Upper Marlboro, Md. / Frederick Douglas H.S.",Stony Brook University,,,
24,,18.0,Jabari Allen,WR,6-4,205.0,Gr.,"Spotsylvania, Va. / Courtland H.S.",,,,
25,,19.0,Isaiah Perkins,WR,6-2,205.0,Fr.,"Laurel, Md. / St. Vincent Pallotti",,,,
26,,20.0,Darren Cleary,DB,6-0,180.0,R-So.,"West Friendship, Md. / Glenelg H.S.",Ave Maria Univ.,,,
27,,20.0,JaVaughn Faunteroy,LB,6-0,200.0,R-So.,"Forestville, Md. / Bishop McNamara H.S.",,,,
28,,21.0,Sabias Folley,RB,5-11,235.0,Jr.,"Charlottesville, Va. / Fork Union Military Academy",,,,
29,,21.0,Evan Rutkowski,LB,6-2,200.0,R-Fr.,"Ashburn, Va. / Briar Woods H.S.",,,,
30,,22.0,Dumkele Idehen,LB,6-0,215.0,Fr.,"Fort Mill, S.C. / Indian Land H.S.",,,,
31,,22.0,Curtis Murray,RB,5-10,190.0,Sr.,"Upper Marlboro, Md. / Riverdale Baptist H.S.",University of Maine,,,
32,,23.0,Sean Tucker,DB,6-0,170.0,R-Fr.,"Washington, D.C. / H.D. Woodson H.S.",East Carolina University,,,
33,,24.0,Ubayd Steed,S,5-11,180.0,Jr.,"Philadelphia, Pa. / Neumann-Goretti H.S.",,,,
34,,25.0,Charles Peeples,CB,6-0,180.0,Gr.,"Mableton, Ga. / Pebblebrook H.S.",Reedley College,,,
35,,26.0,Robert Topps III,DB,6-3,200.0,Gr.,"Chicago, Ill. / Marist H.S.",University of Kansas,,,
36,,26.0,Christopher Watkins,RB,5-10,185.0,R-Fr.,"Silver Spring, Md. / Blair H.S.",Marist College,,,
37,,27.0,Dorian Davis,DB,6-0,190.0,R-So.,"Shelby, N.C. / Shelby H.S.",Southern Illinois University,,,
38,,27.0,Darren Williams,DB,5-9,160.0,R-Sr.,"Waldorf, Md. / Thomas Stone H.S.",Virginia Union University,,,
39,,28.0,Ryan Steinberg,RB,5-7,190.0,Fr.,"Germantown, Md. / Northwest H.S.",,,,
40,,29.0,Josh Cupitt,K/P,6-0,170.0,R-So.,"Reading, Pa. / Exeter Township H.S.",,,,
41,,29.0,Ibrahim Kouyate,LB,6-3,230.0,R-So.,"Germantown, Md. / Seneca Valley H.S.",Lackawanna College,,,
42,,30.0,Keegan Vaughan,K/P,5-11,160.0,R-So.,"Richmond, Va. / Thomas Jefferson H.S.",,,,
43,,31.0,Shafeek Smith,DB,5-10,175.0,R-Fr.,"Philadelphia, Pa. / Imhotep Charter H.S.",,,,
44,,32.0,MJ Cunningham,LB,6-2,240.0,R-So.,"Portland, Ore. /",Butler C.C.,,,
45,,32.0,Tommy Nelson,RB,5-7,175.0,Fr.,"Eldersburg, Md. / Liberty H.S.",,,,
46,,33.0,Stefan Hackshaw,LB,6-3,240.0,R-Jr.,"Frederick, Md. / Tuscarora H.S.",,,,
47,,34.0,Luke Hamilton,FB/TE,6-0,245.0,R-Sr.,"Cumberland, Md. / Fort Hill H.S.",,,,
48,,35.0,Devin Matthews,RB,5-9,195.0,Jr.,"Falls Church, Va. / Justice H.S.",,,,
49,,35.0,Makai Self,CB,5-9,170.0,R-Jr.,"Upper Marlboro, Md. / St. John's College H.S.",Penn State University,,,
50,,36.0,Daniel Fahmy,DB,6-0,215.0,Fr.,"Clarksville, Md. / River Hill H.S.",,,,
51,,37.0,Myles Brodie,DB,6-2,175.0,Jr.,"Hyattsville, Md. / Northwestern H.S.",Alvernia University,,,
52,,38.0,Xavier Terry,DB,5-10,190.0,R-Fr.,"Washington, D.C. / St. John's College (H.S.)",,,,
53,,39.0,RJ Chapman,DB,6-0,180.0,Fr.,"Clinton, Md. / Rock Creek Christian Academy",,,,
54,,40.0,Amir Murray,LB,5-11,225.0,R-Sr.,"Willingboro, N.J. / Willingboro H.S.",Eastern New Mexico University,,,
55,,41.0,Ethan MacNair,LB,6-0,220.0,Fr.,"Somerville, N.J. / Somerville H.S.",,,,
56,,42.0,Dion Crews-Harris,RB,6-0,240.0,R-So.,"Baltimore, Md. / Dunbar H.S.",,,,
57,,43.0,Sam Alsheimer,LB,6-2,225.0,R-Jr.,"Dayton, Md. / Glenelg H.S.",,,,
