,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,Previous School,Twitter,Name,Title
0,,,0.0,Eyan Means,WR,6-3,180.0,Jr.,"Houston, Texas",West Texas A&M,,,
1,,,0.0,Viramontes Pippens,DT,6-1,300.0,R-Fr.,"DeSoto, Texas",DeSoto,,,
2,,,1.0,Andrew Body,QB,6-2,195.0,So.,"Corpus Christi, Texas",Miller,,,
3,,,1.0,Raheme Fuller,S,6-3,214.0,Gr.,"Fort Lauderdale, Fla.",Middle Tennessee,,,
4,,,2.0,Demontario Anderson,DL,6-3,238.0,Sr.,"Jackson, Miss.",Beeville Jones,,,
5,,,2.0,Savion Sims,WR,6-1,181.0,So.,"Missouri City, Texas",Elkins,,,
6,,,3.0,C'ing Blanton,WR,6-2,201.0,So.,"Fort Worth, Texas",Southwest,,,
7,,,3.0,Nick Cotton,S,6-2,200.0,Gr.,"Detroit, Mich.",Notre Dame College,,,
8,,,4.0,AJ Bennett,WR,6-2,190.0,Jr.,"Houston, Texas",Klein Collins,,,
9,,,4.0,Derrick Tucker,S,6-3,220.0,Sr.,"Houston, Texas",Texas A&M,,,
10,,,5.0,Thomathon Good,DT,6-1,315.0,R-So.,"Houston, Texas",St. Pius,,,
11,,,5.0,Kevin Harris,RB,5-10,178.0,Sr.,"Chicago, Ill.",Olivet Nazarene,,,
12,,,6.0,Dylan Hamilton,WR,6-2,172.0,R-Fr.,"Houston, Texas",Klein Forest,,,
13,,,6.0,Calvin Henderson,S,6-1,165.0,So.,"Monroe, La.",Richwood,,,
14,,,7.0,Isaiah Hamilton,DB,6-1,167.0,So.,"Houston, Texas",Channelview,,,
15,,,7.0,Jyrin Johnson,TE,6-4,208.0,So.,"Sorrento, La",East Ascension,,,
16,,,8.0,Ja'Corey Benjamin,DB,5-11,172.0,Jr.,"Houston, Texas",Hastings,,,
17,,,8.0,Derek Morton,WR,5-10,170.0,R-Jr.,"Spring Branch, Texas",San Antonio Johnson,,,
18,,,9.0,Tavaris Achane,WR,6-3,201.0,R-So.,"Jennings, La.",Lake Arthur,,,
19,,,9.0,Cedrick Williams,TI,6-0,205.0,Sr.,"College Station, Texas",Trinity Valley CC,,,
20,,,10.0,Oscar Gordon,QB,6-2,190.0,Fr.,"Austin, Texas",LBJ,,,
21,,,11.0,Alijah Muhammad,S,6-1,210.0,Fr.,"Waterloo, Ia.",Briar Cliff University,,,
22,,,12.0,Trenton Leary,WR,5-9,170.0,Fr.,"Austin, Texas",LBJ,,,
23,,,13.0,Shayne Lawrence,QB,6-3,210.0,Jr.,"Cedar Hill, Texas",ASA College,,,
24,,,14.0,Malachi Byrd,CB,6-1,190.0,R-Fr.,"Cedar Park, Texas",Vista Ridge,,,
25,,,15.0,Kerien Charlo,WR,5-9,165.0,Fr.,"Missouri City, Texas",Ridge Point,,,
26,,,17.0,Jacob Landry,QB,6-0,185.0,R-Fr.,"Baytown, Texas",Sterling,,,
27,,,18.0,Tison Hill,QB,6-5,211.0,So.,"Alexandria, Va.",St. Stephens & St. Agres,,,
28,,,19.0,Jaheem Muhammad,TI,5-11,175.0,Jr.,"Desoto, Texas",Kansas Wesleyan,,,
29,,,20.0,Randy Masters,WR,6-1,175.0,Fr.,"Houston, Texas",Yates,,,
30,,,21.0,Chaunzavia Lewis,RB,5-9,170.0,R-Fr.,"Monroe, La.",South Plains College,,,
31,,,22.0,LaDarius Owens,RB,5-9,186.0,Jr.,"Houston, Texas",Manvel,,,
32,,,23.0,Jacorey Howard,RB,6-1,224.0,Jr.,"Houston, Texas",Aldine,,,
33,,,24.0,Javius Williams,TI,6-0,186.0,So.,"Dallas, Texas",Skyline,,,
34,,,25.0,Davin Wilkins,CB,5-11,180.0,Fr.,"Pearland, Texas",Dawson,,,
35,,,26.0,Nahamani Harris,CB,6-2,200.0,Fr.,"San Antonio, Texas",St. Thomas More,,,
36,,,27.0,Mikeviun Titus,RB,5-10,201.0,R-Fr.,"Dallas, Texas",South Oak Cliff,,,
37,,,29.0,Jaden Hannah,DB,5-11,184.0,So.,"Sugar Land, Texas",Kempner,,,
38,,,30.0,Dominic Franklin,RB,6-0,226.0,Sr.,"Houston, Texas",Chavez,,,
39,,,31.0,Perry Wells,TI,5-7,156.0,So.,"Houston, Texas",North Shore,,,
40,,,32.0,Demarcus Hall,CB,5-9,185.0,Jr.,"Houston, Texas",Navarro College,,,
41,,,33.0,Xavier Goynes,DB,6-1,151.0,So.,"Crowley, Texas",Crowley,,,
42,,,35.0,Nicholas Cole,TIGER/LB,6-0,167.0,R-Fr.,"Fort Worth, Texas",All Saints,,,
