,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,Previous School,Name,Title
0,,,2.0,JoJo Belgrave,DE,6-3,255.0,R-Jr.,"Miami, Fla.",Pitt,,
1,,,2.0,Sam Franklin,RB,5-10,195.0,R-So.,"Little Rock, Ark.",Central HS,,
2,,,4.0,DeVonte Tanksley,WR,5-10,160.0,R-Jr.,"Belle Glade, Fla.",Catawba CC,,
3,,,6.0,Zoe Roberts,WR,5-11,185.0,Jr.,"Perry, Fla.",Taylor County HS,,
4,,,6.0,Jay Rogers,DT,6-3,290.0,R-Sr.,"Memphis, Tenn.",Northern Colorado,,
5,,,7.0,Aaron Webb,S,6-0,175.0,R-Jr.,"St. Louis, Mo.",Iowa Western CC,,
6,,,8.0,Jordan Castleberry,RB,5-8,185.0,R-Jr.,"Cleveland, Ohio",Maryland,,
7,,,8.0,Giovanni Davis,JACK,6-3,250.0,Jr.,"Miami Gardens, Fla.",Dr. Krop HS,,
8,,,9.0,Oshae Baker,S,5-10,195.0,Jr.,"Sanford, Fla.",Seminole HS,,
9,,,9.0,EJ Smoot,WR,6-1,180.0,Sr.,"Beggs, Okla.",Northeastern Oklahoma A&M,,
10,,,10.0,Cornelious Brown IV,QB,6-6,208.0,R-Jr.,"Birmingham, Ala.",Georgia State,,
11,,,10.0,Daylan Dotson,DE,6-3,280.0,Jr.,"Savannah, Ga.",Jenkins HS,,
12,,,11.0,Tevin Shipp,LB,6-2,230.0,R-Jr.,"Smyrna, Tenn.",Smyrna HS,,
13,,,11.0,Kody Sparks,QB,6-5,220.0,R-So.,"Murfreesboro, Tenn.",Bowling Green,,
14,,,12.0,Carson Evans,S,6-1,185.0,R-Jr.,"Memphis, Tenn.",First Assembly Christian,,
15,,,13.0,Jermaine Cooley,JACK,6-2,240.0,Sr.,"Dublin, Ga.",Dublin HS,,
16,,,14.0,Cal Camp,QB,6-3,205.0,R-Fr.,"Madison, Ga.",Morgan County HS,,
17,,,16.0,Jaylon Sharpe,LB,6-2,240.0,R-Jr.,"Charlotte, NC",Charlotte,,
18,,,17.0,Ajay Smith,WR,6-4,190.0,Sr.,"Detroit, Mich.",Independence CC,,
19,,,18.0,Josh Lundy,QB,6-3,190.0,R-So.,"Hoover, Ala.",Hoover HS,,
20,,,19.0,Jack Lucas,S,6-0,180.0,R-Jr.,"Louisville, Ky.",Louisville Male,,
21,,,20.0,"JaMichael McGoy, Jr.",CB,5-10,170.0,R-So.,"Chattanooga, Tenn.",Boyd-Buchanan HS,,
22,,,22.0,Kyler Pearson,WR,5-8,160.0,R-So.,"Tulsa, Okla.",Kansas,,
23,,,23.0,Antonio Jackson,S,6-1,185.0,R-So.,"Bessemer, Ala.",Hueytown HS,,
