,Statistic,No.,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
0,,0.0,Jerome Rice III,LB,Gr.,6-1,228.0,"Spartanburg, S.C. / Spartanburg HS",,,
1,,1.0,Cayden Jordan,WR,R-Jr.,6-2,209.0,"Tampa, Fla. / Gaither HS",,,
2,,1.0,Anton Williams,DL,Gr.,6-3,245.0,"Marianna, Fla. / Marianna HS",,,
3,,2.0,Isaiah Bess,QB,R-Fr.,6-4,220.0,"Shelby, N.C. / Shelby HS",,,
4,,2.0,Hombre Kennedy,S,Gr.,5-11,195.0,"Summerville, S.C. / Ashley Ridge HS",,,
5,,3.0,Deymon Fleming Jr.,QB,R-Fr.,6-2,212.0,"Stone Mountain, Ga. / Greater Atlanta Christian School",,,
6,,3.0,Quintin Seguin,DL,Gr.,6-3,274.0,"Windsor, Ontario / W.F. Herman SS",North Dakota,,
7,,4.0,TJ Brooks,RB,R-Fr.,5-8,178.0,"North Lauderdale, Fla. / Fort Lauderdale HS",,,
8,,4.0,Boogsie Silvera,S,So.,5-11,193.0,"Pembroke Pines, Fla. / American Heritage School Plantation HS",,,
9,,5.0,Cody Cline,S,R-So.,6-2,210.0,"Concord, N.C. / Cox Mill HS",,,
10,,5.0,Ross Malmgren,QB,R-So.,6-3,220.0,"Acworth, Ga. / North Paulding HS",,,
11,,6.0,Kamron Smith,CB,So.,6-0,188.0,"Bonaire, Ga. / Veterans HS",,,
12,,7.0,Nick Bartalo,LB,So.,6-1,225.0,"Tampa, Fla. / Gaither HS",,,
13,,7.0,Tony Bartalo,QB,R-So.,6-2,214.0,"Tampa, Fla. / Gaither HS",Iowa Western CC/Bethune-Cookman,,
14,,8.0,Geordan Livingston,CB,R-Jr.,5-10,170.0,"Beaufort, N.C. / East Carteret HS",,,
15,,9.0,Jake Lanford,LB,R-Fr.,6-1,215.0,"Macon, Ga. / Jones County HS",,,
16,,10.0,JD Moore,RB,R-So.,5-11,182.0,"Abbeville, S.C. / Abbeville HS",,,
17,,11.0,Vinson Davis,WR,R-Fr.,5-8,172.0,"Plantation, Fla. / American Heritage HS",,,
18,,11.0,Dominic Pagano,S,R-So.,6-0,186.0,"Parkland, Fla. / NSU University School",,,
19,,12.0,Landon Sauers,TE,R-Fr.,6-4,236.0,"Iva, S.C. / Crescent HS",,,
20,,13.0,Nick Foster,WR,R-Fr.,5-9,154.0,"Manchester, Ga. / Manchester HS",,,
21,,13.0,Jared Moorer,CB,R-Fr.,5-9,172.0,"Deerfield Beach, Fla. / Deerfield Beach HS",,,
22,,14.0,Cooper Dawson,DL,R-So.,6-5,248.0,"Hanahan, S.C. / Hanahan HS",Syracuse,,
23,,14.0,Dee Oscar,RB,R-Jr.,5-11,180.0,"Sebastian River, Fla. / Sebastian River HS",NE Oklahoma A&M/McNeese State,,
24,,15.0,Ja'mareese Ray,WR,Fr.,5-11,170.0,"Hope Mills, N.C. / South View HS",,,
25,,16.0,Ja'Rell Smith,WR,R-So.,5-11,180.0,"Pine Mountain, Ga. / Harris County HS",,,
26,,17.0,Davin Driskell,TE,Fr.,6-6,215.0,"Evans, Ga. / Greenbrier HS",,,
27,,17.0,Elijah Harper,DL,R-So.,6-3,236.0,"Anderson, S.C. / Westside HS",,,
28,,19.0,David Gelb,P,Gr.,6-0,180.0,"Manalapan, N.J. / Manalapan HS",Maine,,
29,,20.0,Roderick Hawkins,RB,R-So.,5-8,214.0,"Tyler, Texas / Tyler HS",Tyler JC (Texas)/Hutchinson CC (Kan.),,
30,,20.0,Jeremy Martin,K/P,Gr.,5-11,195.0,"Charlton, Mass. / Shepherd Hill HS",UMass/Plymouth State,,
31,,22.0,Dylan Jones,S,R-Fr.,5-10,180.0,"Lake Mary, Fla. / Lake Mary HS",,,
32,,22.0,RJ Wells,WR,Fr.,5-11,170.0,"Nassau, Bahamas / IMG Academy (Fla.)",,,
33,,23.0,Jeremiah McClendon,CB,So.,6-0,180.0,"Delray Beach, Fla. / Atlantic HS",Marshall,,
34,,24.0,Jaron Richardson,CB,R-Jr.,5-10,172.0,"Sumter, S.C. / Lakewood HS",St. Andrews,,
35,,24.0,TJ Ruff,RB,R-Fr.,5-10,183.0,"Shelby, N.C. / Crest HS",,,
36,,25.0,Lawson Cook,S,Gr.,6-0,186.0,"Dacula, Ga. / Dacula HS",Ellsworth CC (Iowa),,
37,,26.0,Nivon Holland,WR,R-So.,5-10,168.0,"Orlando, Fla. / Dr. Phillips HS",,,
38,,26.0,Bryson Jones,S,R-Jr.,6-0,189.0,"West Columbia, S.C. / White Knoll HS",Hutchinson CC (Kan.),,
39,,27.0,Jaiden Miller,CB,R-Fr.,5-10,182.0,"Brunswick, Ga. / Glynn Academy HS",,,
40,,28.0,Tylan Hollis,LB,R-Fr.,5-11,199.0,"Manchester, Ga. / Manchester HS",,,
41,,29.0,Sam Babbush,K/P,R-So.,5-11,175.0,"Beachwood, Ohio / Beachwood HS",Kentucky,,
42,,30.0,Shary Jefferson,LB,R-So.,5-11,202.0,"Orlando, Fla. / Edgewater HS",,,
43,,30.0,Gabe Ortiz,RB,R-Fr.,5-6,170.0,"Concord, N.C. / Cannon School",,,
44,,31.0,Avery Snipes,DE,So.,6-3,226.0,"North Charleston, S.C. / Fort Dorchester HS",South Carolina State,,
45,,32.0,Darrius Bell,DE,R-So.,6-2,245.0,"Leesville, S.C. / Gilbert HS",Western Carolina,,
46,,33.0,Till Garvin,TE,R-So.,6-0,213.0,"Tyrone, Ga. / Sandy Creek HS",UAB,,
47,,34.0,Chad Ishmal,CB,So.,6-1,185.0,"Columbia, S.C. / Blythewood HS",Limestone,,
48,,35.0,Mac Johnson,DL,R-Fr.,6-2,214.0,"Chapin, S.C. / Ben Lippen HS",The Citadel,,
49,,36.0,Trayson Fowler,S,R-So.,6-2,215.0,"Spartanburg, S.C. / Boiling Springs HS",,,
50,,37.0,Jamel Johnson,CB,Fr.,5-11,187.0,"Covington, Ga. / Alcovy HS",,,
51,,38.0,Bryson Oliver,LB,R-Fr.,6-2,221.0,"Daleville, Va. / Lord Botetourt HS",,,
52,,39.0,Kaylon Walters,S,Fr.,5-11,170.0,"Kissimmee, Fla. / Osceola HS",,,
53,,40.0,Garrett Sayegh,LB,Gr.,5-9,210.0,"Simpsonville, S.C. / Hillcrest HS",,,
54,,41.0,Brandon Howard,LB,Fr.,5-11,219.0,"Ridgeland, S.C. / Thomas Heyward Academy",,,
