,Statistic,#,Name,Pos.,Ht.,Wt.,Hometown / High School,Academic Year,Previous School,Image,Title
0,,2.0,Zach Strand,DL,5-11,250.0,"Seaford, Delaware / Easton High School",Sr.,Frostburg State,,
1,,3.0,Rodrick Ward,S,5-11,180.0,"San Jacinto, Calif. / Beaumont High School",R-Jr.,Mt. San Jacinto College,,
2,,4.0,Jason Thomas,S,5-10,175.0,"Compton, Calif /",R-Sr.,Golden West College,,
3,,4.0,Isaiah Williams,RB,6-1,220.0,"Chula Vista, Calif. / Olympian High School",Jr.,San Diego Mesa CC,,
4,,5.0,Davin Wilson,CB,5-11,170.0,"Moreno Valley, Calif. / Rancho Verde High School",R-So.,Bowling Green,,
5,,6.0,Steve Jenkins,WR,5-11,175.0,"Los Angeles, California / Narbonee High School",Jr.,UNLV,,
6,,6.0,Damaje Yancey,CB,6-1,180.0,"Long Beach, Calif. / Orange Lutheran",So.,,,
7,,7.0,Mitchell Price,S,5-10,196.0,"Pleasant Grove, Utah / Pleasant Grove High School",Sr.,BYU,,
8,,7.0,Grady Robison,QB,6-0,200.0,"Sammamish, Washington / Eastlake High School",R-Fr.,Western Kentucky,,
9,,8.0,Josh Dunn,S,6-1,205.0,"Middletown, Delaware / Carvel Academy",So.,Frostberg State,,
10,,8.0,Isaiah Wooden,WR,5-9,170.0,"San Diego, CA / Helix High School",R-Jr.,Kent State,,
11,,10.0,Jackson Berry,QB,6-0,200.0,"Prosper, Texas / Prosper High School",R-Fr.,,,
12,,11.0,Tre Caine,S,6-0,195.0,"Detroit, Michigan / University Liggett High School",Gr.,UNLV,,
13,,11.0,Gabe Nunez,WR,6-0,180.0,"Beaumont, California / Beaumont High School",Fr.,,,
14,,12.0,Dylan Flowers,CB,5-11,180.0,"Playa Del Ray, Calif. / St. Bernard High School",So.,,,
15,,12.0,Justin Miller,QB,6-3,210.0,"Highland, Utah / Summit Academy",R-Jr.,Snow College,,
16,,13.0,Marcus Phillips,WR,6-2,230.0,"Las Vegas, Nevada / Cimarron-Memorial High School",Gr.,UNLV,,
17,,14.0,Timothy Patrick,WR,6-0,185.0,"San Diego, California / Morse High School",R-Jr.,Utah State,,
18,,15.0,Elijah Burns,RB,5-11,210.0,"Chester, Virginia / Thomas Dale High School",Gr.,,,
19,,15.0,Clayton Jensen,LB,6-1,230.0,"Chesterfield, Mo. / Parkway West High School",R-Jr.,,,
20,,16.0,Dallin Brown,WR,6-1,185.0,St. George / Pine View High School,Sr.,,,
21,,16.0,Justin Mitchell,S,6-0,205.0,"Hagerstown, Maryland / South Hagerstown High School",Gr.,Southern Virginia University,,
22,,17.0,Rodney Wright III,WR,5-9,182.0,"Bakersfield, California / Clovis West High School",R-Jr.,Fresno State,,
23,,18.0,Austin Ewing,QB,6-1,185.0,"Kealakekua, Hawaii / Konawaena High School",R-Jr.,,,
24,,18.0,Torion White,S,6-2,170.0,"Long Beach, Calif / Long Beach Poly",R-Fr.,,,
25,,19.0,Tyler Graham,K,5-10,175.0,"Murray, Utah / Murray High School",Fr.,,,
26,,20.0,Rand Jensen,QB,6-0,215.0,"Queen Creek, Ariz. / ALA Queen Creek",R-Fr.,,,
27,,21.0,Bobby Cole,RB,5-9,200.0,"Chatsworth, California / Sierra Canyon High School",Sr.,New Mexico,,
28,,22.0,Jordan Jefferson,RB,5-8,180.0,"Moreno Valley, Calif. / Rancho Verde High School",R-Fr.,,,
29,,22.0,Aubrey Nellems,LB,6-1,210.0,"Las Vegas, Nev. / Shadow Ridge High School",R-Jr.,,,
30,,24.0,Cody Coleman,DB,6-0,184.0,"Carson, California / Nathaniel Narbonne Senior High School",R-Jr.,,,
31,,25.0,Quadir Lockett-Smith,CB,6-0,175.0,Philadelphia Pennsylvania / Penn Treaty High School,Fr.,,,
32,,28.0,Talmage Brown,RB,5-10,210.0,"Bluffdale, Utah / Summit Academy High School",R-Fr.,,,
33,,29.0,George Ramirez,S,5-10,185.0,"Mesa, Ariz. / Red Mountain High School",So.,,,
34,,30.0,Micah Pettit,K/P,6-1,185.0,"Bountiful, Utah / Bountiful High School",So.,Lafayette College,,
35,,31.0,Jake Gerardi,K/P,6-3,250.0,"Oceanside, Calif. / Oceanside High School",R-Sr.,Azusa Pacific,,
36,,32.0,Drake Fakahua,LB,5-10,247.0,"Cedar City, Utah / Cedar High School",So.,,,
37,,32.0,Braedon Wissler,RB,5-7,180.0,"South Jordan, Utah / Bingham High School",R-Fr.,University of Utah,,
38,,33.0,Payton Payne,DT,5-11,295.0,"Suffolk, Virginia / Nansemond River High School",So.,Frostburg State,,
39,,34.0,Keilen Washington,S,6-2,185.0,"St. George, Utah / Dixie High School",R-Fr.,,,
40,,35.0,Hanslee Peay,S,6-1,199.0,"Mapleton, Utah / Maple Mountain High School",R-Fr.,,,
41,,36.0,Jake Narayan,CB,5-11,180.0,"Vacaville, Calif. / Vacaville High School",R-Jr.,Contra Costa College,,
42,,37.0,Clayton Johnson,TE,6-4,250.0,"Springville, Utah / Springville High School",R-So.,,,
43,,38.0,Jayden Perkins,RB,5-11,220.0,"Mesquite, Nevada / Virgin Valley High School",Fr.,,,
44,,39.0,Bodee Blackett,OLB,5-11,195.0,"Nephi, Utah / Juab High School",Fr.,,,
45,,40.0,Viliami Tausinga,DE,6-1,250.0,"Glendale, Utah / East High School",R-Fr.,Brigham Young University,,
46,,41.0,Gavin Lipkin,LS,6-4,230.0,"Las Vegas, Nevada / Arbor View High School",Fr.,,,
47,,42.0,Eddie Allain,LB,5-10,215.0,"Riverside, California / Norte Vista High School",Fr.,,,
48,,43.0,Tyrese Dore,LB,6-3,205.0,"Staten Island, New York / Curtis High School",So.,Lock Haven University,,
49,,44.0,Matt Binkowski,RB,6-2,245.0,"Haymarket, Virginia / Battlefield High School",R-Fr.,,,
50,,44.0,Fabian Marble,LB,6-2,205.0,"Beaumont, Calif. /",Sr.,Azusa Pacific,,
51,,45.0,Tosh Wright,RB,6-0,230.0,"St. George, Utah / Pine View High School",R-So.,,,
52,,46.0,Kohner Cullimore,LB,5-11,225.0,"Gilbert, Arizona / Highland High School",Fr.,,,
53,,47.0,Dillon Smith,LB,6-1,230.0,"Beaver, Utah / Beaver High School",So.,,,
54,,48.0,Peyton Borrelli,TE,6-3,240.0,"Brentwood, Calif. / Liberty High School",R-Fr.,,,
55,,49.0,Mitch Moldre,LB,6-3,240.0,"Bountiful, Utah / Bountiful High School",So.,Claremont Mudd Scripps,,
56,,50.0,Tyler Karl,LB,5-10,210.0,"Midway City, Utah / Wasatch High School",Fr.,,,
57,,51.0,Easton Jones,K/P,5-11,175.0,"Las Vegas, Nev. / Arbor View High School",R-Fr.,,,
58,,52.0,Aaron Romero,DL,6-2,285.0,"Mesa, Ariz. / Skyline High School",R-Jr.,,,
59,,53.0,Trent Whalen,LB,6-3,215.0,"Las Vegas, Nev. / Arbor View High School",So.,,,
60,,54.0,Joshua Acord,OLB,6-2,215.0,North Salt Lake / Woods Cross High School,Fr.,,,
61,,55.0,Josh Lopez,MLB,5-11,228.0,"San Antonio, Texas / Cornerstone Christian High School",So.,,,
62,,56.0,Julian Sanderlin,DE,6-3,245.0,"San Diego, California / Grossmont High School",R-Jr.,San Diego Mesa College,,
63,,57.0,Jordan Barnett,LB,5-11,220.0,"Fredericksburg, Virginia / Colonial Forge High School",Fr.,,,
64,,57.0,Timmy Fleischood,OLB,6-0,210.0,"Reading, Pennsylvania / Fork Union Military Academy",Fr.,,,
65,,59.0,Cameron Dahle,LB,6-3,210.0,"Millville, Utah / Ridgeline High School",So.,Utah,,
66,,61.0,Harevaa Hatitio,OL,6-5,305.0,Tahiti / Juan Diego Catholic High School,R-Fr.,,,
67,,62.0,Leonidas Jacobsen,OL,6-3,290.0,"St. George, Utah / Desert Hills High School",R-Jr.,,,
68,,63.0,Kincade Iosefa,OL,6-2,273.0,"Orem, Utah / Orem High School",Fr.,,,
69,,64.0,Kyle Sfarcioc,OL,6-4,295.0,"Peoria, Ariz. / Liberty High School",R-Fr.,,,
70,,65.0,Connor Petersen,G,6-1,295.0,"Eagle Mountain, Utah / Cedar Valley High School",Fr.,,,
71,,66.0,Jeremy Perkins,RG,6-3,290.0,"Mesquite, Nevada / Virgin Valley High School",Fr.,,,
72,,67.0,Loimata Mauga,OG,6-2,306.0,"Taylorsville, Utah / Alta High School",So.,New Mexico Military Institute,,
73,,68.0,Christy Nkanu,OL,6-4,300.0,"Los Angeles, Calif. / St. Paul High School",R-Jr.,,,
74,,69.0,Brandon Dillard,OT,6-4,283.0,"Burtonsville, Maryland / Paint Branch High School",Jr.,Frostburg State,,
75,,72.0,Lyle Santos,OL,6-3,300.0,"Las Vegas, Nev. / Arbor View High School",R-So.,,,
