,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Current School Name,Previous School,Image,Title
0,,0,Zach Yeager,QB,6-1,210.0,R-So.,"Minneapolis, Minn. / Minneapolis North",North Carolina A&T,,,
1,,1,Alston Hooker,QB,6-1,180.0,R-So.,"Greensboro, N.C. / Ragsdale",North Carolina A&T,,,
2,,1,Karon Prunty,DB,6-2,180.0,R-Jr.,"Portsmouth, Va. / I.C. Norcom (Kansas)",North Carolina A&T,,,
3,,2,Jamison Warren,WR,5-11,185.0,Jr.,"Winston-Salem, N.C. / East Forsyth",North Carolina A&T,,,
4,,3,Elijah Bowick,WR,6-2,205.0,R-Jr.,"Salem, N.J. / Myers Park",North Carolina A&T,Virginia Tech,,
5,,4,Aaron Harris,DB,5-11,185.0,R-Jr.,"Elizabeth City, N.C. / Northeastern",North Carolina A&T,,,
6,,5O,Dylantae James,WR,5-10,170.0,So.,"Burlington, N.C. / Cummings",North Carolina A&T,,,
7,,7,DJ Crossen,DB,6-2,195.0,Sr.,"Greensboro, N.C. / Dudley (Virginia Tech)",North Carolina A&T,Virginia Tech,,
8,,8,Charlie Dixon,RB,6-2,235.0,R-So.,"Hogansville, Ga. / Callaway",North Carolina A&T,,,
9,,9,Janaz Sumpter,DB,6-0,185.0,R-Jr.,"Hemingway, S.C. / Carvers Bay",North Carolina A&T,,,
10,,12,Mario Love Jr.,DB,5-8,170.0,So.,"Cornelius, N.C. / Hough (N.C. State)",North Carolina A&T,,,
11,,13O,Derrick Brinton II,WR,6-0,165.0,So.,"Harrisburg, N.C. / Hickory Ridge",North Carolina A&T,,,
12,,14,Herbert Booker,DB,5-11,195.0,R-Jr.,"Oak Ridge, Tenn. / Oak Ridge",North Carolina A&T,,,
13,,14O,Elijah Kennedy,WR,5-11,180.0,So.,"High Point, N.C. / High Point Central",North Carolina A&T,,,
14,,15,Alex Angus,LB,6-2,205.0,R-Jr.,"Greensboro, N.C. / Page (East Carolina)",North Carolina A&T,East Carolina,,
15,,15O,Corey Crawford Jr.,WR,6-1,190.0,R-So.,"Pleasantville, N.J. / Pleasantville",North Carolina A&T,,,
16,,16,Eli Brickhandler,QB,6-2,195.0,R-Fr.,"Stockton, Calif. / AHOP Christian Leadership Academy",North Carolina A&T,,,
17,,16,Amonte Jones,WR,6-0,165.0,So.,"Chesapeake, Va. / Oscar Smith",North Carolina A&T,,,
18,,17,Caleb Brickhouse,P,6-3,215.0,R-So.,"Elizabeth City, N.C. / Northeastern (Northern Colorado)",North Carolina A&T,,,
19,,17,Ty'Quan Kearney,LB,5-11,200.0,R-So.,"Vanceboro, N.C. / West Craven",North Carolina A&T,,,
20,,18,Taymon Cooke,WR,6-0,185.0,R-Sr.,"Bluefield, Va. / Graham",North Carolina A&T,Marshall University,,
21,,18D,Tyson Hill,DB,5-10,175.0,Fr.,"Raleigh, NC / Knightdale",North Carolina A&T,,,
22,,20,Avarion Cole,ROV,6-0,190.0,R-So.,"Charlotte, N.C. / Julius L. Chambers",North Carolina A&T,,,
23,,21,David Laney,DB,6-1,175.0,R-So.,"Henrico, Va. / Highland Springs",North Carolina A&T,East Carolina,,
24,,22,AJ Dupree,ROV,6-0,190.0,Jr.,"Snow Hill, N.C. / Greene Central",North Carolina A&T,,,
