,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Current School Name,Name,Title
0,,0.0,Jack Whyte,TE,6-2,Gr.,"Glen Ellyn, Ill. / Glenbard West",,Western Illinois,,
1,,1.0,JJ Ross,DB,6-2,R-Sr.,"Cincinnati, Ohio / Lakota West",,Western Illinois,,
2,,2.0,Donald McKinney,WR,6-3,Sr.,"Tustin, Calif. / Tustin HS",,Western Illinois,,
3,,3.0,Braylen Brooks,DB,5-9,Sr.,"Rowlett, Texas / Sachse",,Western Illinois,,
4,,4.0,Tre Maronic,TE,6-3,R-Jr.,"Auburn, Calif. / Bear River",,Western Illinois,,
5,,5.0,Clay Bruno,QB,5-10,Jr.,"Rochester, Ill. / Rochester",,Western Illinois,,
6,,6.0,Tre Henry,DL,6-3,Sr.,"Lake Charles, LA / Lake Charles College Prep",,Western Illinois,,
7,,7.0,Matt Morrissey,QB,6-5,Jr.,"Elmhurst, Illinois /",,Western Illinois,,
8,,9.0,Nathan Lamb,QB,6-4,Jr.,"Tulare, California /",,Western Illinois,,
9,,10.0,Tarell Evans,WR,5-8,Sr.,"Champaign, Ill. / Champaign Central",,Western Illinois,,
10,,11.0,Drake Day,QB,6-3,Sr.,"West Burlington, Iowa / West Burlington-Notre Dame",,Western Illinois,,
11,,12.0,Taj Sanders,WR,6-0,So.,"Valdosta, Ga. / Valwood HS",,Western Illinois,,
12,,13.0,Jay Parker,WR,5-5,Gr.,"Nashville, Tenn. / Pearl-Cohn Magnet HS",,Western Illinois,,
13,,16.0,Gage Freeman,LB,5-11,R-Fr.,"Tiffin, Iowa / Clear Creek-Amana HS",,Western Illinois,,
14,,17.0,Juan DelaCruz,LB,6-2,Sr.,"Gurnee, Ill. / Warren Township",,Western Illinois,,
15,,18.0,Christiaan Masucci,K,6-1,R-Sr.,"Wildwood, Mo. / Lafayette (Eastern Illinois)",,Western Illinois,,
16,,19.0,Anthony Quinney,LB,6-2,Sr.,"Mobile, ALA. / Baker HS",,Western Illinois,,
17,,20.0,Fredrik Greenhoward,DB,6-1,Jr.,"Luther, Okla / Luther High School",,Western Illinois,,
18,,21.0,Wentric Williams III,RB,6-0,R-Fr.,"Liberty, MO / Liberty HS",,Western Illinois,,
19,,22.0,Noah Epley,LB,6-2,Jr.,"New Hartford, Iowa / Dike New Hartford High School",,Western Illinois,,
